Gen	t_n219	t_n220	t_n221	t_n222	t_n223	t_n224	t_n225	t_n226	t_n227	t_n228	t_n229	t_n230	t_n231	t_n232	t_n233	t_n234	t_n235	t_n236	t_n237	t_n238	t_n239	t_n240	t_n241	t_n242	t_n243	t_n244	t_n245	t_n246	t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435	mu	sigma2	lnL
1	5.2543447	4.9882956	4.7146392	4.0359617	3.7542196	2.8925929	2.9338134	5.1951681	4.9133330	4.0421071	1.8953671	4.7911713	2.8992678	4.4202434	4.1331868	3.1599297	4.0472840	1.8832225	2.1187210	1.5187528	4.1282519	2.9026426	2.3940342	1.9688664	2.6933448	2.6287294	2.5635532	2.3857735	1.3563852	2.3920533	1.8217554	1.0012429	0.8844994	0.2318390	0.4118708	2.3536274	1.8828832	1.4982367	0.7728519	0.3017058	1.3122283	1.0088739	0.7098954	2.1679306	2.0424635	1.7682534	1.5134193	1.5936321	1.3285500	1.1302281	0.9327920	0.0378807	1.8492770	0.8920305	0.6755094	0.4937228	0.3471875	0.1069376	1.6562127	0.7908740	0.4147459	0.0502214	0.0439060	0.0336982	1.3637183	0.5254396	0.5085707	0.0246130	0.2495792	0.0173101	3.9532034	3.0973480	1.8236595	3.8191413	3.4462797	2.9060979	1.8586317	1.1989126	0.5604692	1.5740026	0.2775689	1.2566245	0.8818159	0.5042369	0.3546716	0.7360672	0.6228727	0.4649944	2.7043483	2.1392238	1.8088817	1.2063538	0.9326925	1.6296611	1.1471081	0.9329866	0.1310450	0.9827049	0.4772665	0.8205630	0.3517104	0.5240555	0.4069323	0.0104918	1.4067578	1.0858788	0.0228275	0.9345768	0.1238460	0.8161282	0.4404121	0.7334763	0.6221691	0.4902652	3.6155527	3.3943611	2.2581505	1.5244265	1.0860149	0.4685235	3.2590752	2.9503513	2.5566724	2.2570277	3.0971599	2.7040094	2.1039580	2.6030090	2.0085428	3.2663399	3.1622941	1.7915176	1.2148959	0.1646811	1.2449136	0.8813714	1.0983468	0.5415821	2.7565893	1.5848145	2.2106537	1.1681644	1.9477752	1.6131658	1.1481362	0.7561370	1.3042127	0.8473920	1.1751463	0.4665168	0.9979263	0.4340176	0.8701568	0.2959602	3.0438828	2.3379960	1.8003780	2.2667888	2.0274869	1.7911820	1.5930417	0.6230952	1.9714328	1.7258128	0.9336931	0.4065185	0.3484814	1.5181036	1.2499919	0.6640147	0.6570190	0.5296686	0.1257502	2.7913945	2.3929910	1.2353977	2.0557949	1.0197592	0.0540444	1.8005063	1.6172475	1.2637467	1.0343814	0.3245715	2.6670864	2.5333447	2.2743038	1.9671638	2.0069185	1.8745573	1.5894971	2.3171912	1.8881385	1.6259252	0.8936928	0.5855189	0.2988267	0.4395391	2.1721573	1.8208819	1.1837467	1.2471812	0.5180075	1.4916920	1.0674688	0.0083769	1.2161365	0.7748699	0.4698606	0.6910921	0.5467931	0.4541651	0.0780966	0.0021259	0.2767051	0.0051159	0.0012386	0.0969061	0.1092424	-286.822
1000	5.3891436	5.2628825	4.8684133	4.2492225	3.7186838	3.0048226	2.6086494	5.3616922	4.8541432	4.5000836	1.5688757	4.5557524	2.9927558	4.0641930	3.5656112	2.2758781	3.5310870	1.4768763	1.8417179	1.3214144	4.1751606	3.1564557	2.4920082	2.0069663	2.8844004	2.8083793	2.6829354	2.5436216	1.3770680	2.5107382	1.9117778	0.8836716	0.7351640	0.1449385	0.3846169	2.4536504	2.0635681	1.6295456	0.6101932	0.2718082	1.1473797	0.8708728	0.6153509	2.3200301	2.2297823	2.0144969	1.7446092	1.8179628	1.6149517	1.4133998	1.1930217	0.0259378	2.0999525	1.0081372	0.7300338	0.4838650	0.3413229	0.1182335	1.9407801	0.8931490	0.3961279	0.0427506	0.0419784	0.0403530	1.7189686	0.6376319	0.6012080	0.0123574	0.2967496	0.0176289	4.0475024	3.0320775	1.7671042	3.9523316	3.7189322	3.1993937	1.8865204	1.0076247	0.3689511	1.5017550	0.2381785	1.1022288	0.8630922	0.5084041	0.3505811	0.7718549	0.6664089	0.5205655	2.9212411	2.1058269	1.8361646	1.3286920	1.1062721	1.5640636	1.1349785	0.9345703	0.1748216	1.0230843	0.3382472	0.8425590	0.4462180	0.4706287	0.3208931	0.0057127	1.2823719	1.0408072	0.0288806	0.8762604	0.1329032	0.7226341	0.3396745	0.6544325	0.5767790	0.4476145	3.7355004	3.4562309	2.4292720	1.9239041	1.6348309	0.6594539	3.2114879	2.8059374	2.6376024	2.2922512	3.0368717	2.6322739	1.8240076	2.5172171	1.5022050	3.3780727	3.2553413	2.3416497	1.7042385	0.2419014	1.8128033	1.2475673	1.6590653	0.9247280	2.8694677	1.7734265	2.4313130	1.2987288	2.1849880	1.7795468	1.3121400	0.7673661	1.4502110	0.8007743	1.3193076	0.5609774	1.0728009	0.4169800	0.9617290	0.2610948	3.1035018	2.3670658	1.6235057	2.1811992	1.9189057	1.6112438	1.3641607	0.6292282	1.8015292	1.6050617	0.9382828	0.4064437	0.3417955	1.4572271	1.1580789	0.6103529	0.6604549	0.5172814	0.1319240	2.8714041	2.5524910	1.6201816	2.0882104	0.8729073	0.0497934	1.8291655	1.5796577	1.1666654	0.9775433	0.3016139	2.7842579	2.6160172	2.3082351	2.0902017	1.9960680	1.7942652	1.5053348	2.3605773	1.7613798	1.5839543	0.8896177	0.6296623	0.3351410	0.4987410	2.4487340	2.1615749	1.5677065	1.3031138	0.5834496	1.7157694	1.2309211	0.0175672	1.3996775	0.7780992	0.5201361	0.7023193	0.5482202	0.4807624	0.1041069	0.0027372	0.2955714	0.0030135	0.0013481	0.0840476	0.0902797	-291.273
2000	5.4704476	5.4536817	5.2846958	4.5543170	4.6906027	4.0587765	3.9066310	5.3147516	4.8190545	4.2746493	2.2248504	4.6965257	2.4876481	4.2126895	3.9153008	2.5758585	3.7564718	1.3914150	1.4711731	1.0014462	4.1691531	2.9950709	2.4673112	2.2361527	2.7396417	2.6458509	2.4714252	2.3362254	1.2243448	2.3485881	1.6288851	0.8168315	0.6576972	0.1826191	0.3379124	2.2701561	1.7353007	1.4493521	0.6566886	0.2739547	1.0168131	0.8154613	0.6290460	2.1352059	2.0369140	1.7648048	1.5189863	1.5295768	1.2707680	1.0669340	0.9155103	0.0242027	1.8289867	0.8746187	0.6917211	0.4708120	0.3371079	0.0993775	1.6453594	0.6905143	0.3112995	0.0314773	0.0266333	0.0214506	1.4406993	0.5038680	0.4830850	0.0063992	0.2005743	0.0146561	4.0341092	2.9938566	1.9358597	3.9648149	3.6877388	2.9882537	2.1357168	1.0187830	0.5485660	1.7848897	0.1947174	1.3025151	0.9817244	0.6314054	0.4571714	0.8162560	0.6766702	0.5153717	3.0036497	2.0766965	1.7157237	1.1739442	0.8492381	1.5197159	1.0407149	0.8624036	0.1409844	0.8554603	0.3214820	0.6727195	0.4206457	0.3665284	0.2427594	0.0070354	1.2114409	1.0020897	0.0217105	0.7899747	0.1505122	0.7098172	0.3366087	0.6303996	0.5794501	0.3925900	3.7482590	3.5169870	2.7154013	2.0858328	1.6347237	0.6075112	3.3603115	3.0677885	2.6490272	2.2472988	3.2004235	2.7208476	2.0143955	2.5854291	1.7442152	3.5069052	3.3975613	2.4354753	1.6766445	0.3028827	1.8829270	1.2141835	1.6749503	0.7785093	2.9523613	2.1626613	2.5315277	1.1931002	2.3175384	1.8686723	1.1037216	0.6598837	1.5296723	1.0596831	1.3884199	0.5204141	1.2139958	0.5769319	1.0860173	0.3621686	3.2881064	2.4135635	1.8063085	2.2842447	1.8968373	1.5721338	1.3898965	0.5907381	1.9537121	1.6588270	0.9786858	0.3520781	0.2765792	1.5555098	1.3181997	0.7924913	0.4629133	0.3979954	0.0975788	3.0207317	2.7441932	1.6103428	2.3269639	1.1528022	0.0376313	1.8964155	1.6425684	1.2798362	1.0081594	0.3155393	2.9220423	2.8226201	2.4954633	2.0619508	2.0625688	1.8455663	1.4796051	2.6011367	2.1271019	1.9679235	1.1940939	0.7589609	0.3888224	0.5450416	2.6783415	2.3497996	1.7181946	1.4987938	0.5896511	1.8249133	1.3110260	0.0344798	1.3663202	0.8099448	0.4463298	0.6972110	0.5958230	0.5051085	0.0952621	0.0051568	0.2936365	0.0039485	0.0031445	0.1034173	0.0721449	-283.105
3000	5.3981307	5.0840834	4.6969200	4.1237568	3.8467237	3.0961212	2.6913191	5.3384922	4.9179662	4.2441356	1.9465658	4.5628436	2.6412136	4.1438593	3.6676763	2.4987805	3.6842295	1.8147275	2.2083641	1.5969612	3.9676357	2.9454849	2.2470676	1.9582373	2.7214672	2.6993061	2.6242610	2.5313406	1.4454047	2.5184514	1.9937300	0.8495039	0.6753342	0.1174275	0.2759685	2.4793157	1.9407807	1.4900964	0.5976586	0.2237100	1.3437714	1.0739775	0.8588372	2.2681340	2.1516085	1.8415248	1.5917818	1.6593222	1.4185735	1.2700474	1.1137592	0.0208247	1.9520985	0.5881914	0.4822178	0.3508090	0.2585371	0.1082491	1.7711551	0.6626750	0.3212552	0.0434785	0.0388807	0.0313606	1.5423301	0.5482161	0.5396750	0.0124977	0.2627832	0.0192187	3.8728717	3.1478901	2.0208479	3.7923931	3.4861767	3.0362682	1.8588480	1.0154286	0.5221397	1.5563682	0.2416460	1.1728495	0.9041624	0.5913679	0.3838273	0.7851105	0.6427624	0.4877146	2.7822812	2.2435777	2.0760390	1.3513989	1.0645803	1.8415591	1.0935931	0.9739318	0.1261581	0.9174738	0.3252438	0.7455820	0.3958129	0.4906834	0.3307502	0.0151164	1.5625748	1.2810189	0.0344835	1.0111277	0.1564764	0.9121037	0.5319370	0.8459672	0.7247766	0.5225740	3.5477157	3.4379620	2.2131180	1.6932586	1.2681778	0.4429082	3.2233711	2.8948346	2.5394931	2.1514070	2.9449272	2.4618723	1.8241970	2.3314658	1.5472360	3.2489277	3.0865248	2.2633003	1.7336783	0.2435925	1.6801194	1.1838788	1.5491024	0.4862718	2.6501684	1.8095670	2.1543276	1.0951079	1.9953634	1.7146440	1.2007518	0.7353576	1.3289961	0.9133961	1.1260250	0.4456284	1.0030967	0.3704798	0.9185819	0.3040067	3.0671971	2.1557719	1.6436352	2.0030907	1.7406619	1.3673238	1.1552423	0.3843366	1.7534947	1.4988182	0.9166153	0.4284808	0.3232325	1.4169523	1.1883043	0.6171013	0.4615841	0.3677068	0.0878329	2.8596104	2.5747495	1.5562520	2.1993315	1.2138320	0.0675909	1.9039398	1.6027219	1.2913247	1.0735509	0.4209598	2.8021581	2.7253779	2.4823157	2.2379255	2.1372267	1.8941626	1.5451718	2.4854122	2.0821913	1.8819104	1.2680036	0.9380537	0.3588632	0.6238848	2.4709472	2.1269510	1.5422824	1.4552511	0.4568999	1.6146486	1.0729935	0.0092517	1.2978635	0.7706206	0.3876158	0.6974741	0.5901066	0.4758941	0.0948534	0.0035059	0.3249231	0.0052861	0.0035094	0.0740828	0.1041731	-291.735
4000	5.4000629	5.1804089	4.7902313	3.5281820	3.8068658	2.9372762	2.8668949	5.3891808	4.9406018	4.5154875	2.1216878	4.7808057	3.0321895	3.8738348	3.4702854	1.9943548	3.4671037	1.9360436	2.2078644	1.6362351	4.0857804	3.0643804	2.5367703	2.3089882	2.8202808	2.7522989	2.6065954	2.4092651	1.5961990	2.4568457	1.9524431	1.1421653	0.9678306	0.2199639	0.4468836	2.3926118	2.0750261	1.7964748	0.6910675	0.3110521	1.1401776	0.9294107	0.7326176	2.2515086	2.1692025	1.9437071	1.6959671	1.7310296	1.3474874	1.2032071	1.0354870	0.0290783	2.0173971	1.1890455	0.8999390	0.6641222	0.4784765	0.2054890	1.8116589	0.8744925	0.5080104	0.0711077	0.0649631	0.0476542	1.6170822	0.5866871	0.5193368	0.0188698	0.2672457	0.0244080	3.9897323	2.6867110	1.6077232	3.9219629	3.6671935	2.8667580	1.6571829	1.1745766	0.6633208	1.4034374	0.2055315	1.1099856	0.8676791	0.5484816	0.4016382	0.7445353	0.5846515	0.4549919	2.8711183	2.0288160	1.9354934	1.2481935	1.0310404	1.7706247	1.2130248	1.0562717	0.1092247	0.9528258	0.4113518	0.8090670	0.4420602	0.4506062	0.3286544	0.0133419	1.4588203	1.0843735	0.0251114	0.9006719	0.1350339	0.8125015	0.4002920	0.7459536	0.6355465	0.4690454	3.6453680	3.4549389	2.1749540	1.5633671	1.3436484	0.5207376	3.1501276	2.8961433	2.6652631	2.0340806	2.7345130	2.4965554	1.8523623	2.3446511	1.5121204	3.2118478	2.9983918	1.8812291	1.2221007	0.1096839	1.3204486	0.9198560	1.2145530	0.5833845	2.5762093	1.2128415	2.1080674	0.9513662	1.8663493	1.6057022	1.0314582	0.6111871	1.2845325	0.8137385	1.1126444	0.4504858	0.8567747	0.3187617	0.7548536	0.2137089	2.8724992	2.1414517	1.6469591	1.9980482	1.8624321	1.4657793	1.1664118	0.6073544	1.7096871	1.5151733	0.8676982	0.2012966	0.1522196	1.3656846	1.1718437	0.7168329	0.5674858	0.4643154	0.1208929	2.5801637	2.3138816	1.3792066	2.0036973	1.0411226	0.0292307	1.5745939	1.3641747	0.9454446	0.7651873	0.2388394	2.5145924	2.3717071	2.1540272	1.7663384	1.8551695	1.6654247	1.4116163	2.1019587	1.6729114	1.4897263	0.9476914	0.5585017	0.2563343	0.4879878	2.1329408	1.8383861	1.4609533	1.0162394	0.4778025	1.4717377	0.9562690	0.0085774	1.2741202	0.7748553	0.4479356	0.6827594	0.5669640	0.5133112	0.0912138	0.0028815	0.3166210	0.0005291	0.0005131	0.1077971	0.1248331	-308.089
5000	5.4076546	5.3826550	5.0052415	4.3581620	3.9970649	2.7356219	2.9742360	5.2050026	4.6646213	3.9655881	1.8785238	4.5472679	1.7671319	4.2301672	3.6309810	2.5999909	3.7777942	1.9594201	1.7100260	1.0730708	3.7199253	2.6833818	1.8956141	1.5476053	2.4913435	2.4154439	2.2743136	2.1138182	1.2908472	2.1594737	1.6883760	0.8650205	0.6871752	0.1385086	0.3475024	2.0944720	1.7466482	1.4934242	0.6361492	0.2291890	1.0804927	0.8652386	0.6391625	1.9680372	1.8579401	1.5945881	1.3334851	1.4610235	1.1875781	1.0768992	0.9773267	0.0243499	1.7645557	1.0818669	0.8824882	0.6057113	0.4670709	0.1581198	1.6053018	0.5902061	0.2596179	0.0292575	0.0283293	0.0258347	1.4368632	0.5224856	0.5161577	0.0178074	0.2190275	0.0208439	3.6433353	2.7541899	2.1761648	3.5604410	3.3172498	2.4263504	1.5438044	0.8581450	0.4723895	1.2369977	0.1855874	1.0020142	0.7759618	0.4406860	0.3063234	0.6738448	0.5758178	0.4335509	2.3845409	1.7421200	1.6681417	1.1498853	0.8698135	1.5040913	1.0669146	0.9143841	0.1187996	0.8565266	0.2984106	0.6929011	0.3079528	0.4098634	0.2892261	0.0139322	1.2728387	1.0364788	0.0212454	0.8528415	0.1589024	0.7504445	0.3970102	0.7087003	0.6138049	0.4306890	3.3274534	3.1216398	2.1110970	1.4630744	1.1521963	0.5482980	2.9831911	2.6042883	2.3918722	1.9926346	2.7186932	2.2391608	1.6906676	2.1001494	1.3931307	2.9682232	2.7742191	1.8378700	1.2383398	0.1986853	1.2015634	0.6803674	1.0425890	0.4020172	2.3288415	1.5630292	2.0826585	1.3741194	1.8801440	1.5138185	1.0084808	0.5678554	1.1796749	0.8570922	1.0627236	0.3650032	0.9359952	0.3504043	0.8290141	0.2985725	2.8002237	2.0318787	1.5716695	1.8060182	1.5826256	1.3515643	1.1480655	0.4806053	1.5832966	1.3297437	0.8876970	0.2601740	0.2053930	1.1666453	0.9961553	0.6364328	0.4299070	0.3417379	0.0868898	2.5670954	2.3458404	1.5959285	2.1158605	0.9452076	0.0281160	1.8807957	1.6136018	1.1538611	0.8855288	0.3240949	2.4458273	2.4140900	2.2335895	1.9623504	2.0666075	1.9153799	1.7221215	2.2209508	1.8696666	1.6781464	0.9888178	0.5884171	0.3385252	0.4865633	2.1925701	1.8908640	1.4273116	1.2039200	0.3710650	1.5702912	0.9695983	0.0071835	1.2179617	0.8162562	0.5326160	0.7697533	0.6254551	0.5470098	0.0978047	0.0035198	0.3590139	0.0031119	0.0000752	0.0787646	0.1102674	-280.377
6000	5.1460442	4.8523764	4.2768807	3.1099975	3.3820487	2.3551523	2.1495625	5.1332571	4.5685949	3.9638293	1.4614929	4.1678670	2.0575867	3.6039607	3.2184004	1.8476533	3.2181834	1.2319366	1.5983552	1.1404470	3.7126486	2.8694485	2.3394866	1.8883115	2.6479131	2.5476200	2.4117887	2.1402821	1.0730598	2.2776285	1.6945357	0.9320973	0.8024632	0.2182795	0.4588235	2.1580130	1.6559162	1.2690657	0.6082785	0.1906453	0.9804857	0.6862817	0.5287665	1.9925168	1.8743405	1.7180756	1.4535169	1.4548978	1.1752152	0.9898373	0.8010721	0.0269487	1.7119200	0.8736257	0.6969399	0.4414767	0.2869014	0.0852857	1.5160547	0.6555053	0.2299201	0.0216674	0.0204373	0.0200792	1.3047673	0.5398606	0.5013463	0.0142890	0.2405676	0.0244665	3.6025594	2.9480771	1.5624095	3.5246819	3.2502758	2.6335846	1.7522730	1.0088694	0.4526690	1.4171137	0.2174510	1.1110606	0.8431711	0.5618883	0.3808970	0.6912799	0.5898589	0.4424596	2.4761437	1.7927323	1.7640746	1.1064782	0.8682931	1.6007712	1.0927466	0.9701774	0.1378067	0.8646991	0.3568458	0.6352672	0.3511941	0.3607996	0.2201442	0.0032499	1.2926354	1.0201321	0.0207065	0.8425961	0.0991588	0.7488896	0.3583593	0.7151380	0.5868454	0.4550790	3.3578541	3.0703950	2.1872498	1.5927739	1.2853769	0.4188207	2.8999735	2.5548261	2.3107471	2.0471716	2.6722794	2.1655830	1.5789456	1.9820628	1.2935360	2.9423528	2.7900985	1.8916604	1.3497377	0.2055655	1.2998027	0.7572652	1.1319323	0.5268027	2.3584794	1.2812194	1.9134845	0.9506540	1.6715568	1.3663200	0.9595185	0.6013371	1.0690129	0.6994770	0.9617703	0.4075334	0.7718213	0.3275304	0.6582207	0.2432282	2.7063652	1.9481606	1.5546830	1.8137818	1.6419736	1.3154681	1.0584113	0.3678100	1.5589748	1.3062180	0.7714163	0.2611567	0.2111662	1.2622420	1.0878458	0.5306010	0.4322576	0.3596053	0.0780619	2.4714845	2.2558751	1.2444482	1.8547229	0.8254341	0.0290837	1.4975712	1.2692904	0.9317283	0.7430220	0.2706733	2.3549134	2.2666503	1.9980403	1.5510319	1.7407938	1.6198618	1.3470425	2.0543829	1.7015171	1.4942392	0.8822570	0.5994725	0.3404605	0.4738093	2.0942348	1.6948625	1.1455812	1.0446593	0.3115396	1.3959334	0.9801363	0.0109252	1.1335810	0.7811430	0.3884252	0.7056843	0.5518348	0.4598777	0.0755868	0.0013634	0.2718001	0.0021403	0.0014887	0.0816452	0.0888542	-285.471
7000	5.2794227	5.2393861	4.8799942	4.0269270	4.0114143	3.4571860	3.2098008	5.2277477	4.7335877	3.9379642	1.4906733	4.5435480	2.3647193	4.1265674	3.4969917	1.8325608	3.3225543	1.6954293	1.7553035	1.1183717	4.0547767	2.8107792	2.2188057	1.8391491	2.5692109	2.4844659	2.3587920	2.2210903	1.0808522	2.2254651	1.4941706	0.6554960	0.5402119	0.1226997	0.2977667	2.1763507	1.8127828	1.5826877	0.9281758	0.4610958	1.1725035	0.9705714	0.7313848	2.0246193	1.9245711	1.6677989	1.4562491	1.5143774	1.2599035	1.0797659	0.8437994	0.0228441	1.8324262	1.0165228	0.7665361	0.5092537	0.3582412	0.1421765	1.6205797	0.8294198	0.3691384	0.0297913	0.0284027	0.0256447	1.4195166	0.6771464	0.6701201	0.0177280	0.3677910	0.0336031	3.9464385	2.7433526	2.2388153	3.8147496	3.5600001	2.6767088	1.9672971	1.1988851	0.6816232	1.6609925	0.2936861	1.2306875	0.9083544	0.5602575	0.3587882	0.7921093	0.6585880	0.5154017	2.8625702	2.1362654	2.0680759	1.3485831	1.0989327	1.9069664	1.2414218	1.0981159	0.1497335	1.0494394	0.5495939	0.8741883	0.5510577	0.5907729	0.4060860	0.0075929	1.5929287	1.3082582	0.0255683	1.0935659	0.1762187	0.9369010	0.4824953	0.8263486	0.6777290	0.4581532	3.6460359	3.3957109	1.8799889	1.3545365	1.1341678	0.4742846	3.2155161	2.8282979	2.5043822	2.1448558	3.0291230	2.5226784	1.8176651	2.3865973	1.4260084	3.1898528	2.9999398	2.0549787	1.3749752	0.2044247	1.3281082	0.7436612	1.1649952	0.5671427	2.4501954	1.4608429	1.9765564	0.8423502	1.7437072	1.4195749	0.8882998	0.5471010	1.1389184	0.7394512	0.9863754	0.4201077	0.8306341	0.3230578	0.7415430	0.2387589	3.0128883	2.2050407	1.6367265	2.0386885	1.8231068	1.4698016	1.2487033	0.5134249	1.7853668	1.5260712	0.8439452	0.2369189	0.1913816	1.5425900	1.2565236	0.7529935	0.5734950	0.4735873	0.1226130	2.7878949	2.5028185	1.6295352	2.1310329	1.0857163	0.0482885	1.9026230	1.6354925	1.2124375	1.0386568	0.3167581	2.6826716	2.5549935	2.2464707	1.8895494	1.8752330	1.7293341	1.3774194	2.3310712	1.9435343	1.7342874	1.1980820	0.7128324	0.4243677	0.4520473	2.3453362	1.9363298	1.5187340	1.2808625	0.4826618	1.6425257	1.1065268	0.0087781	1.2622330	0.7606957	0.4835170	0.6431297	0.5488027	0.4748722	0.1183433	0.0033229	0.3396083	0.0058511	0.0023227	0.1118596	0.1123236	-260.284
