Gen	t_n219	t_n220	t_n221	t_n222	t_n223	t_n224	t_n225	t_n226	t_n227	t_n228	t_n229	t_n230	t_n231	t_n232	t_n233	t_n234	t_n235	t_n236	t_n237	t_n238	t_n239	t_n240	t_n241	t_n242	t_n243	t_n244	t_n245	t_n246	t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435	mu	sigma2	lnL
1	5.4012383	5.0780253	4.5956642	3.7310193	3.6758675	2.8302195	2.7177643	5.3961471	4.6954208	4.2472451	1.0725831	4.4989195	2.6345542	4.1062143	3.7583003	2.1627061	3.7400683	1.8598526	1.6917789	1.2263600	4.1943402	3.2683520	2.7320495	2.2319251	3.0298977	2.9522702	2.7916423	2.4888696	1.1887695	2.6682155	1.9370795	1.0872539	0.8807316	0.1851550	0.4702689	2.5781071	2.0384822	1.7414175	0.9243316	0.4527092	1.4941160	1.2333860	0.9943397	2.4751539	2.3064221	1.9735552	1.7761028	1.7543361	1.4445416	1.2948904	0.9500719	0.0300963	2.0999286	0.9882031	0.7623724	0.5557352	0.4196556	0.1462389	1.9003892	0.9104228	0.4746870	0.0513628	0.0438121	0.0354924	1.6316717	0.6804310	0.6123882	0.0096211	0.2540586	0.0185924	4.0284444	2.9603790	1.8166114	3.9617580	3.7504813	3.1263612	2.1867204	1.3087376	0.5202214	1.7339211	0.1798087	1.3554355	0.8202296	0.5197779	0.3830920	0.7049880	0.5634074	0.4121672	2.9117123	2.0042049	1.8996262	1.0275358	0.8554833	1.6678316	1.0516881	0.9151215	0.1548319	0.8503580	0.3514636	0.6931789	0.3091771	0.3830629	0.2525726	0.0080988	1.3874625	1.1143448	0.0219598	0.8499257	0.1575802	0.7055519	0.3565791	0.5820342	0.4771612	0.3279966	3.8166066	3.6150081	2.8850797	2.1831835	1.6219683	0.7015281	3.4802781	3.1160095	2.7245270	2.4012295	3.2416873	2.7198254	1.7802985	2.5611144	1.6175458	3.4947615	3.3518974	1.9887231	1.4300956	0.1792632	1.4705094	1.0153089	1.3290813	0.6651728	3.0247833	1.8260435	2.6952806	1.5316189	2.5434275	2.0529705	1.5269818	1.0434797	1.7612136	1.1639649	1.6110207	0.6675463	1.4173679	0.7414105	1.3664821	0.4299102	3.2615231	2.4236298	1.9140927	2.2359597	1.9404264	1.7167155	1.4725937	0.4915161	1.9210941	1.6873097	0.9959905	0.4037658	0.3169717	1.4631933	1.1572957	0.6974049	0.5307682	0.4205829	0.0772369	3.0215877	2.6693616	1.4173367	2.3471652	0.9702998	0.0598960	2.0951984	1.9084534	1.5866426	1.2558307	0.4508200	2.9106343	2.7966586	2.5553435	2.1370636	2.2896198	1.9870411	1.6131756	2.6048207	2.1990488	1.9840111	1.1272468	0.7563312	0.4251511	0.6674773	2.6016272	2.1194103	1.5824393	1.3544321	0.6351851	1.7481195	1.2410867	0.0240772	1.2182879	0.7681573	0.4820705	0.6840516	0.5765753	0.5032369	0.0988809	0.0005464	0.3306844	0.0079642	0.0026215	0.0757686	0.1126882	-265.659
1000	5.3440488	5.1736829	4.7578416	3.6443880	3.6135025	2.0469179	2.8420062	5.1980515	4.4964714	3.8278716	1.6923683	4.3508804	2.8191727	3.7605990	3.3007423	2.1852413	3.3045137	1.5266256	1.5934636	1.1075686	4.1325895	2.8277581	2.1665513	1.6627715	2.5584222	2.4974132	2.3525263	2.2350678	1.2469419	2.2510678	1.6729883	0.7456183	0.5991901	0.1272128	0.3127008	2.1885342	1.7339236	1.3626681	0.7245051	0.3705489	1.1441404	0.9143622	0.6207179	2.1131228	1.9907520	1.6901210	1.4855008	1.4866894	1.1907433	1.0131724	0.7653883	0.0172215	1.8040697	0.9391923	0.7413283	0.4629696	0.3149523	0.0833852	1.5977176	0.8278418	0.4976465	0.0348841	0.0344489	0.0260247	1.3267813	0.4635754	0.4262530	0.0077332	0.1991273	0.0081138	4.0037218	2.7544744	1.7703096	3.9292070	3.6029581	2.9241740	1.8381213	1.0819734	0.5979306	1.4559594	0.2701204	1.1001730	0.7369338	0.4676700	0.3085932	0.6162430	0.4958544	0.3527321	2.7316904	1.8523630	1.8345821	1.2679180	1.0265728	1.6840499	1.1384846	1.0057783	0.1761633	0.9815256	0.3997772	0.7994617	0.4943040	0.4924370	0.2846591	0.0082042	1.3923956	1.1644742	0.0342726	0.9273245	0.1603085	0.7974296	0.4171112	0.6980713	0.5790265	0.3929499	3.7209622	3.4923192	2.6000042	2.0858045	1.6967651	0.7417501	3.3619540	2.8441747	2.4312513	1.8058764	3.1538766	2.8157296	2.3453010	2.6265347	1.9871045	3.4047903	3.2601626	1.6308441	1.0218744	0.1424461	1.1048904	0.5813793	0.9883393	0.4747713	2.8312419	1.8631869	2.4445490	1.2545262	2.1248520	1.7176817	1.2939459	0.8783631	1.3853336	0.9880435	1.2597603	0.4868167	1.0758249	0.4014501	0.9789280	0.3564922	3.1281289	2.3990029	1.8978252	2.2951266	1.9523576	1.5999856	1.3716013	0.6577542	2.0266531	1.7920805	1.1414439	0.5349398	0.4569474	1.7088348	1.4347851	0.8099659	0.6621785	0.5762058	0.1493455	2.8907870	2.5126448	1.4718003	2.1061938	1.1973283	0.1119377	1.7507405	1.5465286	1.1953944	0.9262380	0.3407840	2.8010331	2.6851606	2.4210072	2.2361360	2.1567950	1.9590493	1.6711125	2.5048714	2.0640107	1.8770611	0.9651693	0.5893576	0.2774916	0.5598200	2.4327434	2.0970740	1.5620893	1.2170670	0.4987172	1.6849148	1.2566722	0.0203916	1.2371900	0.8029976	0.5006039	0.7358490	0.5871164	0.4846143	0.1431504	0.0076661	0.3290116	0.0030170	0.0011225	0.0546941	0.1269621	-293.296
2000	5.3484810	5.2550893	4.9983221	4.4508468	4.3640755	3.5618043	3.4765754	5.3137304	4.9066047	4.3284527	1.2028250	4.7357414	2.9417131	4.4753454	3.8828864	2.4480107	3.8294345	1.8638385	1.5592866	1.0076144	4.0637736	2.9185697	2.4628746	1.9414254	2.6206254	2.5455324	2.3948241	2.1716795	1.3708402	2.2545856	1.7252877	0.9828739	0.8574110	0.2214402	0.4693601	2.2261781	1.8484629	1.5508760	0.7929391	0.2556837	1.2493024	0.9476921	0.7342145	2.0380787	1.9125770	1.7311944	1.4873708	1.5344409	1.2783604	0.9986092	0.7659103	0.0203262	1.7673921	0.8946602	0.7856566	0.5425806	0.3918989	0.0983878	1.6196373	0.8636112	0.4793586	0.0390415	0.0374971	0.0354698	1.3657847	0.4482064	0.3907629	0.0092685	0.1693426	0.0075566	3.9589388	2.2664945	1.5550113	3.8474970	3.4810896	2.8085539	1.9852533	1.0042473	0.4857562	1.5986466	0.3537064	1.2648844	1.0017724	0.6955405	0.5455337	0.8627170	0.7606464	0.5770255	2.5463398	1.6620393	1.5464166	0.8889956	0.6914686	1.4125779	0.9896034	0.8816906	0.1399528	0.8284276	0.3006564	0.5930236	0.3241819	0.3591853	0.2510759	0.0080534	1.1660504	0.9620291	0.0229390	0.8284562	0.1210502	0.6738802	0.3472639	0.6029209	0.4871249	0.3880991	3.6077757	3.4008680	2.3684940	1.8244353	1.4123163	0.4898219	3.1966058	2.8826064	2.5454479	2.2727894	2.9328084	2.3891701	1.3398727	2.2672218	1.2994422	3.2927274	3.1129697	2.1457654	1.4387195	0.2318052	1.5817669	1.0667973	1.3960486	0.6735043	2.6965693	1.4711060	2.3227197	1.3523079	2.2081605	1.8164764	1.3918145	0.8537952	1.4605733	1.0320389	1.3173429	0.3918139	1.0585426	0.3862701	0.9539411	0.3465462	2.9970072	2.1790741	1.7521624	2.0044066	1.8127271	1.5521239	1.3992937	0.6418180	1.7021906	1.4835468	0.8604266	0.3561319	0.2747293	1.3929394	1.2135368	0.7177351	0.5821332	0.4588434	0.1404710	2.7315504	2.3530601	1.5219541	1.9289516	0.8434124	0.0282428	1.6129632	1.4337120	1.0350524	0.8118686	0.2695025	2.6344169	2.5419845	2.3325270	1.9824850	2.0775419	1.8943015	1.5873836	2.3071598	1.8405359	1.6705014	1.1128845	0.7203314	0.3524809	0.5055515	2.3193834	1.8539061	1.3197081	1.0885177	0.4481578	1.6607722	1.1836599	0.0111856	1.2110371	0.7465513	0.4510002	0.6621877	0.5336723	0.4295520	0.0899475	0.0011925	0.2964208	0.0018121	0.0007376	0.0963075	0.1011322	-285.614
3000	5.4226375	5.3403326	4.9891999	4.2050916	3.9688275	3.2843563	2.9664489	5.2537959	4.8566990	4.4183766	1.2939406	4.6384507	2.7695682	4.2020262	3.7391282	2.2318675	3.6683790	1.6025984	1.5090493	1.1058065	4.0693087	3.1492071	2.7952308	2.3631320	2.9529612	2.8740596	2.7241854	2.4639314	0.9140338	2.6315181	1.9382822	0.9152143	0.7040949	0.1764104	0.2923091	2.5609904	2.1540962	1.9085948	0.5868894	0.2102530	1.3579512	1.0548475	0.8467265	2.2945780	2.1857623	1.8878936	1.5306133	1.6773018	1.3924186	1.1854306	0.9218229	0.0234599	1.9516479	0.9227016	0.7227981	0.5042083	0.4061581	0.1159906	1.7526718	0.9195957	0.4653211	0.0566843	0.0497671	0.0459689	1.5204368	0.6371793	0.6150909	0.0052368	0.3242567	0.0295782	3.9774743	3.3258978	2.1211407	3.9136544	3.6567861	3.1803387	2.1453107	1.1246375	0.4366799	1.8522203	0.2529529	1.3583297	1.0122996	0.6622693	0.4352438	0.8320460	0.7284075	0.5629926	3.0087024	2.2937670	2.1268744	1.6884438	1.5135726	1.9075494	1.3304812	1.2260160	0.1501956	1.0403537	0.3889438	0.8079056	0.4913723	0.3604858	0.2406051	0.0076691	1.6037559	1.2059805	0.0159108	0.9744890	0.1183338	0.8331902	0.4472756	0.7601581	0.6695001	0.5014539	3.7687490	3.5608588	2.5490953	1.8879572	1.5993103	0.7682358	3.3754654	3.0101907	2.8034879	2.4054053	3.2513679	2.9121332	2.3477267	2.8092524	1.9736189	3.4918541	3.3228061	2.0684072	1.4632288	0.2379473	1.5600673	1.1188119	1.3383371	0.5625778	2.8720677	1.9976174	2.4213274	1.4159685	2.1870224	1.8070473	1.3765218	0.8796633	1.4843509	0.8695739	1.3224472	0.4275591	1.1892177	0.4424805	1.0676225	0.4737933	3.2662205	2.4045749	1.9348533	2.2694567	1.9407314	1.5477348	1.3651835	0.5879748	1.9685456	1.5259418	1.0565612	0.2889713	0.2295788	1.5606680	1.2753776	0.7159016	0.6300586	0.4688799	0.0970940	2.9278847	2.6134558	1.3406626	2.0865509	0.8006478	0.0386968	1.6116475	1.4071542	1.1627021	0.9717228	0.2998220	2.8375529	2.7767759	2.4948890	1.9464116	2.1331107	1.9555198	1.5509294	2.4658422	2.0987495	1.8449688	0.9639523	0.6689162	0.3332250	0.5286078	2.5307344	2.2537969	1.6266191	1.3642473	0.5407061	1.6989211	1.1607140	0.0116175	1.2697704	0.7887728	0.5081612	0.6892567	0.5299643	0.4247122	0.0974004	0.0052928	0.2958870	0.0047343	0.0037627	0.0925220	0.1221875	-263.356
4000	5.4563314	5.4122013	5.0118791	4.0777133	3.8190642	3.2163352	3.2042989	5.3527179	4.9231941	4.2805690	1.1818381	4.6877506	2.0114371	4.0771753	3.5670007	2.4312695	3.6261619	1.9755223	1.6480244	1.1238641	4.0902863	2.9420984	2.2230213	1.8511053	2.7220355	2.6531639	2.4950377	2.3420535	1.3908938	2.3671807	1.6864009	0.8332281	0.7133821	0.1619173	0.3722694	2.2704102	1.9001837	1.5419603	0.6139343	0.2617857	1.1639394	0.8577053	0.6698015	2.1237390	2.0363914	1.7896357	1.4839861	1.5975356	1.3863798	1.2402246	1.0294557	0.0330904	1.8216245	0.9121724	0.7482005	0.4867062	0.3581777	0.1484952	1.6439352	0.7424813	0.3300600	0.0386540	0.0385111	0.0335667	1.3716533	0.5153499	0.5098871	0.0127549	0.2884621	0.0175703	3.9782471	2.9080827	1.7943638	3.9023340	3.6615684	3.2165146	2.2488641	1.5650980	0.8318648	1.9238681	0.2113897	1.5764977	1.1652810	0.6719001	0.4548402	1.0298351	0.9194587	0.7212979	2.9124606	1.9205573	2.0790879	1.3294576	1.0686826	1.8662875	1.2051494	1.1197092	0.1655660	1.0036842	0.4105394	0.7915897	0.4450902	0.3833073	0.2777299	0.0085582	1.6138973	1.2764112	0.0266900	1.0321578	0.1562838	0.9325696	0.5120313	0.8417211	0.7420705	0.5234246	3.7396451	3.6185303	2.2569618	1.6411670	1.1649231	0.3997121	3.3970372	2.8829454	2.5805715	2.2452738	3.1709617	2.8140806	2.1337936	2.7424163	1.9025889	3.3453914	3.1420447	1.8074431	1.3546672	0.2415103	1.2291213	0.7628884	1.0988642	0.5325043	2.6729540	1.6097598	2.3500515	1.5313035	2.1110468	1.7137853	1.1619022	0.7221555	1.4438629	0.9447298	1.2996123	0.4813514	1.0581421	0.4610656	0.8963715	0.3286649	3.1188926	2.1309527	1.7040517	2.0230768	1.6922067	1.3456312	1.0715376	0.4916983	1.7603687	1.5092402	0.9828884	0.3095336	0.2483576	1.4482749	1.1565938	0.6913636	0.5569891	0.4659597	0.1120182	2.8772434	2.6020845	1.3395608	2.0335601	0.6567755	0.0199082	1.7190689	1.4482989	1.0640381	0.8648322	0.3258611	2.8017892	2.6705182	2.4024869	1.8739190	2.1281770	1.9192657	1.6199497	2.4713322	2.0770846	1.9346645	1.1608227	0.8315528	0.3802966	0.5018980	2.4863470	2.1914005	1.7355853	1.3540143	0.3612733	1.7000643	1.1188328	0.0147357	1.3627129	0.8277206	0.5191018	0.7758648	0.6224545	0.4875772	0.0863852	0.0037646	0.3328823	0.0055524	0.0009495	0.0785272	0.0851677	-274.819
5000	5.3624484	5.1836440	4.9105449	3.9024599	3.7167432	2.8953427	2.4718595	5.2493993	4.5885663	3.9597472	1.3339950	4.2927366	2.4327850	3.7735805	3.0147215	1.4923814	2.9902559	1.4397115	1.5621624	1.1135881	3.9376629	3.0565392	2.4812561	1.7645995	2.8761407	2.8074098	2.6282844	2.4225144	1.2215762	2.4825244	1.8798615	0.8783624	0.6301843	0.1538135	0.3136371	2.3990934	1.9953423	1.6459381	0.6803878	0.2458986	1.3676400	1.0089036	0.7355413	2.2357697	2.1146109	1.9232492	1.6203453	1.6910513	1.5342072	1.3529752	1.0896930	0.0269044	1.9720678	0.9308389	0.7542082	0.4141451	0.2725679	0.1159516	1.7575386	0.8939284	0.4420104	0.0486295	0.0473406	0.0451074	1.5467134	0.3869095	0.3675229	0.0108315	0.1586667	0.0110838	3.8104777	2.7965456	1.3182180	3.7130746	3.4081069	2.9778263	2.1524926	1.3657652	0.8650429	1.7829439	0.1641743	1.4522702	1.1540242	0.6949329	0.4607150	0.9862394	0.8199132	0.5917217	2.5414470	1.9523657	1.7164672	1.1755142	0.9314575	1.4855287	1.0352762	0.9320165	0.1222101	0.8823401	0.3524780	0.7464211	0.4304858	0.3858573	0.2668432	0.0152872	1.2392393	1.0248897	0.0340199	0.8225765	0.1179133	0.6935474	0.2912192	0.5929823	0.5083490	0.3625985	3.5432599	3.3713699	2.5099895	1.7737185	1.3906320	0.5854764	3.2073309	2.8869234	2.4351144	1.9644002	3.0039501	2.6602209	1.6217444	2.5425285	1.4970458	3.2438866	3.0849247	2.1069413	1.4763830	0.1432931	1.5298071	1.0488363	1.3244625	0.7159727	2.7152931	1.6265970	2.2623764	1.3531830	1.9726698	1.6044719	1.1008116	0.6945217	1.2815316	0.8171364	1.1850630	0.4390340	1.0267526	0.5159249	0.9249561	0.2951303	3.0393910	2.3111235	1.7691562	2.1791368	1.8981903	1.6620921	1.2963046	0.6404927	1.9289476	1.6880671	1.1359040	0.3542215	0.3052199	1.5083897	1.1910788	0.6549076	0.5613141	0.4568450	0.0861273	2.7774687	2.4602743	1.4365691	2.0964286	1.0125014	0.0460018	1.8114891	1.5322918	1.2495388	1.0530424	0.4705309	2.7325414	2.6348240	2.3245517	2.0638356	2.0487159	1.8468381	1.5180676	2.3543381	1.9718499	1.6615642	1.0030525	0.5731845	0.2941775	0.4447605	2.3964352	2.0935016	1.5847194	1.3843655	0.4886876	1.7785529	1.3247230	0.0116144	1.4305312	0.8918751	0.5929512	0.7933540	0.6710748	0.5640364	0.1188343	0.0016373	0.3663621	0.0034375	0.0027932	0.0653656	0.0986073	-283.272
6000	5.3276251	4.9905472	4.7165772	3.9711152	3.8583887	3.0523475	3.0224461	5.3223286	4.9912760	4.5555543	2.0981543	4.7901273	3.1373219	4.3565401	3.9903250	2.8080953	3.7730056	1.3796167	2.1961247	1.5648542	4.2585313	3.3171072	2.9176672	2.3720142	3.0240867	2.9604206	2.8229542	2.6382151	1.3621773	2.6733303	2.0356741	0.9536670	0.7781660	0.1453171	0.4263483	2.6017806	2.1309677	1.7146500	0.9928061	0.3317223	1.3080433	1.0213506	0.7123055	2.4273919	2.2916006	2.0595109	1.6547662	1.9011654	1.6173144	1.4153896	1.1932544	0.0274402	2.1038127	1.0576906	0.8610422	0.6024959	0.4308250	0.1492851	1.9057866	0.9133660	0.4887869	0.0463248	0.0435176	0.0348368	1.7417540	0.5861704	0.5701323	0.0061180	0.2868111	0.0259478	4.1031809	2.5101941	1.5236376	4.0273226	3.6808478	2.9434792	2.1266137	1.4061849	0.6747310	1.8068752	0.2353670	1.4655509	1.1570382	0.7459581	0.5934774	1.0475323	0.9539572	0.7755899	2.9283954	2.1884434	1.7367938	0.8485954	0.6320569	1.5434193	1.0444298	0.9460781	0.1582269	0.8609378	0.3018269	0.6917295	0.3689680	0.3275294	0.2267701	0.0075400	1.3289418	1.0837218	0.0286480	0.8532808	0.1244405	0.7329551	0.3977274	0.6327337	0.5439454	0.3748011	3.8527878	3.6555444	2.6467979	1.9083230	1.4869100	0.6940923	3.4355339	3.0427884	2.6975899	2.1719716	3.0772575	2.5992932	1.8572391	2.3667996	1.6861192	3.4426315	3.1744308	1.8670076	1.2782344	0.1276568	1.2978860	0.8620112	1.1342849	0.5003108	2.7140400	1.4540416	2.3390345	1.1936013	2.1728030	1.7530209	1.1836978	0.7531866	1.4056417	0.8941611	1.3030760	0.5162331	1.1137586	0.4713777	1.0268523	0.4029437	3.1562680	2.1982828	1.7056106	2.0828999	1.8809011	1.4518469	1.2475125	0.4819894	1.8388405	1.6081976	1.0863617	0.3414262	0.3036251	1.4349260	1.2470452	0.6920253	0.7500832	0.6196640	0.1415724	2.8610208	2.5544351	1.2964254	2.0526320	1.0872627	0.0260079	1.6628049	1.3121328	1.0262277	0.8625757	0.3410221	2.7747076	2.6721456	2.2682348	2.0118623	1.9430534	1.6963554	1.3326582	2.4657260	2.0375993	1.8145947	1.1848120	0.8776719	0.3823881	0.7043439	2.3591981	2.0463112	1.3615052	1.3757693	0.4089223	1.5816744	1.0026124	0.0274698	1.2499285	0.8062056	0.5161476	0.7544342	0.6068914	0.4794004	0.0985103	0.0024052	0.3261070	0.0019099	0.0011979	0.1120950	0.0891201	-314.834
7000	5.4156519	5.0605714	4.6953789	2.9961653	3.6657337	2.9675818	3.0480334	5.3928375	4.5486348	4.0778077	2.0384011	4.3108169	2.3027985	3.5505624	3.1327430	2.1318775	3.0888225	1.1903567	1.9796698	1.2777413	4.3021686	3.1410736	2.6070924	2.0688579	2.8186830	2.7049268	2.5487286	2.4108159	1.6386901	2.4648892	1.7596752	0.9652880	0.8232969	0.2589350	0.4189953	2.4004598	1.9778892	1.6162979	0.8640212	0.2843385	1.4488523	1.0020376	0.7834770	2.2796586	2.1612844	1.8309835	1.6551619	1.6345766	1.3935787	1.1895066	0.9115421	0.0252105	2.0338018	1.1948752	1.0354303	0.6290478	0.4858321	0.1447576	1.8534671	1.0137128	0.4785156	0.0559530	0.0527425	0.0424137	1.6889081	0.7088870	0.6873956	0.0200354	0.2915371	0.0119163	4.1944342	2.9846245	1.9149714	4.0850931	3.7418267	2.9567304	1.9743869	1.2161479	0.6632188	1.5846796	0.1421144	1.2290893	0.9228005	0.6281076	0.4618728	0.7626244	0.6546584	0.5079768	2.8787200	1.8466236	1.8421890	1.2359027	0.9686160	1.6087590	1.1183887	0.9360123	0.1271841	0.9093416	0.3647653	0.7974869	0.4184129	0.4912177	0.3470963	0.0065016	1.4508339	1.2547504	0.0517948	1.0670488	0.2234685	0.9789483	0.5515197	0.8687085	0.7534103	0.5426587	3.8721099	3.6762708	2.8131144	2.2005900	1.9719505	0.6800197	3.4504694	3.1525736	2.9049479	2.6556920	3.1702784	2.7134491	1.7986275	2.5790167	1.7241029	3.4173392	3.2511507	2.2515145	1.7015169	0.1685432	1.6747950	1.0394915	1.5024664	0.7897110	2.6916607	1.5946285	2.2525530	1.2428285	2.0717478	1.6692256	1.1075583	0.6833610	1.2421801	0.7355189	1.0632529	0.3735623	0.9175005	0.3705897	0.8119195	0.3085502	3.1935487	2.4545833	1.8562147	2.2557667	1.9383550	1.4802500	1.1604101	0.5427162	1.8987112	1.6693949	0.8705943	0.3141054	0.2713821	1.6368240	1.4605298	0.8265263	0.6930122	0.6010941	0.1783407	2.9467653	2.6541710	1.4290701	2.1610958	1.2342040	0.0895240	1.8144263	1.4851572	1.1848113	0.9014976	0.2764273	2.7895024	2.6381466	2.3636221	1.9629743	2.0459508	1.9061934	1.5663705	2.3932197	1.8781144	1.6852341	1.0032604	0.6604889	0.2750929	0.5271799	2.2814178	1.7340509	1.1765678	1.0598939	0.3762051	1.6760658	1.1374875	0.0225246	1.3552213	0.8036566	0.4994220	0.7214276	0.5767123	0.4642347	0.0819220	0.0033141	0.2942244	0.0018725	0.0008303	0.0731828	0.1464480	-276.970
