Gen	t_n219	t_n220	t_n221	t_n222	t_n223	t_n224	t_n225	t_n226	t_n227	t_n228	t_n229	t_n230	t_n231	t_n232	t_n233	t_n234	t_n235	t_n236	t_n237	t_n238	t_n239	t_n240	t_n241	t_n242	t_n243	t_n244	t_n245	t_n246	t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419	t_n420	t_n421	t_n422	t_n423	t_n424	t_n425	t_n426	t_n427	t_n428	t_n429	t_n430	t_n431	t_n432	t_n433	t_n434	t_n435	mu	sigma2	lnL
1	5.3047640	5.2827993	4.9166061	4.2136555	4.2704751	3.7453050	3.3978224	5.2526482	4.8423263	4.2252214	1.3481897	4.7166582	3.1649295	4.4512786	4.0525445	2.0861871	4.1518836	2.1672785	2.2137370	1.5647772	3.9894597	2.9481888	2.5440647	1.9612281	2.6868721	2.6041931	2.5048225	2.3567053	1.3734375	2.3708705	1.8027411	0.9893013	0.8433997	0.2374505	0.3416692	2.2623788	1.8366077	1.6365790	0.7712808	0.2846876	0.8652705	0.5948671	0.4656925	2.0576056	1.9714123	1.8286914	1.5461519	1.6277460	1.4273353	1.2874761	1.0596738	0.0331725	1.8637854	1.0498562	0.8383409	0.6199938	0.4388177	0.1247123	1.7057193	0.8398948	0.3452702	0.0428769	0.0398383	0.0363627	1.5283214	0.5019903	0.4908838	0.0083351	0.2370376	0.0197169	3.8039184	2.3405648	1.4297025	3.7206259	3.3733943	2.7858659	1.9351671	0.9803006	0.5029227	1.5787191	0.2625975	1.1509504	0.9161938	0.5536948	0.4014504	0.7719448	0.6590397	0.4983212	2.6468849	1.8903385	1.9141392	1.1953219	0.9301792	1.6816871	1.1181878	0.9487784	0.1446422	0.9128269	0.3961903	0.6882080	0.3682493	0.3817522	0.2861933	0.0093705	1.4281996	1.1464986	0.0198153	0.9222209	0.1001600	0.7957751	0.4062503	0.7217418	0.6252990	0.3942918	3.5921501	3.3620934	2.5576281	1.8692711	1.5915647	0.5666410	3.2180211	2.8920422	2.6117550	2.3788108	3.0734162	2.6227660	1.8579875	2.5088929	1.6668951	3.2694455	3.0507528	1.8961045	1.1148850	0.1369519	1.4261049	0.8805010	1.1720129	0.5783508	2.6403270	1.7376995	2.2365152	1.1486757	2.0936693	1.7016382	1.2920118	0.7193336	1.4580006	0.8367977	1.3502399	0.5776875	1.1633634	0.4366299	1.0480302	0.4048137	3.0603025	2.2145735	1.6656883	2.0886986	1.8586624	1.6230852	1.3881422	0.7432456	1.7663824	1.4964560	0.8945571	0.3410078	0.2837025	1.4517938	1.1222832	0.6433383	0.6007357	0.4930742	0.1098025	2.7938473	2.4897799	1.2826647	2.1239482	1.0154887	0.0676764	1.7977331	1.5272004	1.0954211	0.8915607	0.3149202	2.6662457	2.5731124	2.2763871	1.7717851	2.0756913	1.7981806	1.4847178	2.4201351	2.0401673	1.8569330	1.0909445	0.6461092	0.3412040	0.5038835	2.3273131	1.9396942	1.4417690	1.2432803	0.4451435	1.5688829	1.0715896	0.0132109	1.2959251	0.7674131	0.4281621	0.6564704	0.5397717	0.4771168	0.0652081	0.0023178	0.3001527	0.0006326	0.0004285	0.1082009	0.0885638	-284.992
1000	5.2870325	5.0820280	4.6924624	3.5834778	3.8549741	3.1143440	2.8767089	5.2776780	4.9387581	4.4443897	1.8964866	4.5713152	2.6749368	4.1105787	3.7411291	2.2354898	3.7476727	2.3807391	1.2780813	0.9578686	4.2132754	3.0983500	2.2522157	1.8697351	2.8806102	2.8295506	2.6855420	2.4331242	1.2853653	2.5628591	1.8650419	0.8781023	0.7514135	0.1931904	0.3975559	2.4721608	2.0565755	1.6750756	0.8019300	0.3415201	1.0960140	0.8852859	0.7035606	2.3073287	2.1318272	1.7679980	1.6147596	1.5918831	1.3403111	1.1433552	0.9603326	0.0284428	1.9257765	1.0931794	0.7764731	0.5594656	0.4470881	0.1880624	1.7005129	0.8592996	0.4268699	0.0307924	0.0291332	0.0274059	1.5049580	0.4988530	0.4880583	0.0194335	0.2072970	0.0137910	4.0975172	3.2965122	2.2563119	3.9991994	3.6946184	2.8323088	2.1099863	1.5207815	0.7921360	1.7648922	0.1610904	1.4696752	1.0924261	0.7321469	0.5416274	0.9420045	0.7979517	0.5860730	2.8821801	2.1863879	1.9626656	1.3075196	1.0963869	1.7565498	1.2074920	0.9585810	0.1041524	1.0790444	0.4260571	0.8653504	0.4820540	0.4965804	0.3062599	0.0072048	1.5164790	1.2587357	0.0403589	1.0500322	0.1405765	0.9310933	0.3560084	0.8030833	0.6814389	0.4531285	3.7863240	3.6148817	2.4496901	1.7141282	1.3804243	0.5635181	3.3858411	3.0534379	2.8571959	2.3935216	3.1390513	2.6691770	2.0266800	2.4514332	1.7774074	3.3547208	3.1567722	1.9045329	1.3152435	0.1792665	1.4058717	0.8973625	1.2058867	0.5558185	2.7387162	1.5682565	2.3699843	1.2673039	2.1593918	1.7721752	1.2807851	0.8339120	1.4392511	0.9637064	1.3186291	0.6826680	1.1380901	0.4818433	0.9824919	0.3428422	3.1169978	2.2285736	1.6628006	2.0813683	1.9128408	1.6098843	1.3996499	0.7533692	1.7356647	1.4767924	0.8212080	0.3377832	0.2723511	1.2857099	1.0834928	0.7163344	0.4886156	0.3920348	0.0912285	2.8793829	2.5743341	1.5590102	2.2989297	1.1425562	0.0520760	2.0202908	1.7152910	1.2397003	1.0071577	0.3880177	2.7817706	2.6801814	2.3804175	2.0127271	2.0983760	1.8877436	1.6369133	2.4802689	2.0510745	1.8397858	1.1419490	0.8081862	0.3385695	0.4863700	2.5277865	2.0947447	1.5444569	1.4235851	0.5227254	1.8689452	1.3260268	0.0188773	1.4886340	0.9352674	0.5830323	0.8009527	0.6551505	0.5589097	0.0785903	0.0054392	0.3726552	0.0030781	0.0009952	0.0967912	0.0844758	-296.717
2000	5.2482251	5.1946431	4.8961816	3.9847343	4.0733069	3.3937790	3.3358726	5.1748622	4.5784955	4.0007560	1.2566031	4.3691015	2.0396054	3.6863153	3.2378068	1.7893653	3.2229317	1.1908919	1.5911012	0.9997800	3.9081689	3.0461930	2.1916753	1.8176043	2.8013180	2.6557153	2.5088613	2.2477079	1.4775778	2.4335885	1.6398695	0.8503395	0.6644030	0.1639258	0.2969969	2.3597864	1.8914054	1.3951933	0.5689645	0.1874858	1.2415901	0.9210575	0.6211683	2.1717884	2.0704690	1.7675015	1.5425051	1.5647536	1.3001628	1.1004769	0.7401488	0.0172275	1.9329816	0.9393541	0.7432509	0.4481048	0.3427304	0.1114942	1.8119609	0.7828991	0.3787766	0.0349257	0.0277237	0.0217586	1.5286255	0.4764892	0.4484112	0.0045796	0.2493742	0.0206905	3.8015147	2.7735655	2.0168024	3.6554300	3.4272887	2.9865906	2.0935330	1.4424470	0.7284909	1.7081764	0.1522232	1.3907319	1.0462757	0.6426693	0.4190505	0.8945363	0.7476415	0.5908217	2.6766746	1.7523631	1.7859268	0.8414078	0.6340864	1.6221880	1.0370698	0.8684956	0.0928681	0.8820928	0.4810320	0.6995764	0.3939764	0.4313026	0.2922552	0.0143400	1.4226347	1.2708942	0.0410877	1.0078490	0.1894008	0.8428612	0.3404307	0.7638646	0.6595873	0.4862237	3.5064306	3.2810548	2.0101795	1.5040658	1.1632563	0.5799613	3.1315047	2.6053697	2.3235779	1.9189276	2.9835947	2.5927644	1.8564747	2.4163903	1.6612155	3.2308626	3.1149225	1.7966465	1.0755911	0.1692840	1.2899830	0.8507528	1.1193496	0.4634192	2.5562304	1.2427180	2.2238273	1.0271093	1.8748599	1.5027835	0.9961516	0.5432303	1.2671558	0.8082732	1.1698373	0.4274130	0.9656540	0.3312842	0.8412991	0.3638395	3.0086077	2.1865497	1.7692619	2.1210080	1.8768485	1.6999747	1.4982078	0.7291763	1.8035982	1.4616265	0.9108222	0.2645683	0.2269028	1.3456737	1.0875579	0.5525214	0.5436603	0.4440589	0.0865711	2.7885594	2.6078796	1.8263533	2.3078081	1.1339666	0.0734777	1.9708634	1.7427194	1.3806608	1.1290842	0.3731133	2.7314170	2.6652426	2.4455285	1.8446409	2.0716126	1.8982921	1.5207970	2.4433741	2.0970296	1.8860637	1.1066005	0.6675707	0.3232711	0.4860020	2.4877877	2.1729297	1.6313928	1.2900651	0.4241361	1.8758479	1.4921680	0.0363471	1.4866635	0.8896476	0.5954797	0.7847400	0.6656608	0.5360123	0.0868662	0.0002007	0.3706983	0.0034510	0.0026854	0.0950773	0.1284272	-261.042
3000	5.2421561	4.9350420	4.4780088	3.8605563	3.4831654	2.9307691	2.5663450	5.2029084	4.6675576	4.1472518	2.1616382	4.0396683	2.2457951	3.5648999	3.0741411	1.6750205	3.0932432	1.8551737	1.5365683	1.0924323	4.2053281	3.0580056	2.3322182	1.9660521	2.8128032	2.6990332	2.5841657	2.4252469	0.8336937	2.4541191	1.8999636	0.8669150	0.6971014	0.2062097	0.3814906	2.3847441	1.8588118	1.4530411	0.6524104	0.1922842	1.0746375	0.7748411	0.5456735	2.2084840	2.1172945	1.9014917	1.6532299	1.7159436	1.4678859	1.1503583	0.9291547	0.0257402	1.9519912	0.9805318	0.7646168	0.5619184	0.4029531	0.1032976	1.7100016	0.8017646	0.3364423	0.0570477	0.0505652	0.0376017	1.5263765	0.5210200	0.5133820	0.0077595	0.2642528	0.0281613	4.0723061	2.7962391	1.5653799	3.9585884	3.7823179	2.9820925	1.9396719	1.1482677	0.6617559	1.5300405	0.1644689	1.2635852	0.9681486	0.5971932	0.4399092	0.8044951	0.6738467	0.5001319	2.9659315	2.0897161	1.8883936	1.1494854	0.8517440	1.5963707	1.1259381	1.0231493	0.1533793	0.9118323	0.3627790	0.6997467	0.3725382	0.3955566	0.2619671	0.0117798	1.3799758	1.0705876	0.0214870	0.8578600	0.1315343	0.7601514	0.3616123	0.6805934	0.6022901	0.4289127	3.7670576	3.3946133	2.2529604	1.7585284	1.5060004	0.5672633	3.2368225	2.7821654	2.3780826	2.1701569	2.9592355	2.5367278	1.6719834	2.4628159	1.5130844	3.3329568	3.2002301	2.1805684	1.4470754	0.2347212	1.7548756	1.1595536	1.5550141	0.7053377	2.8455067	1.6902331	2.3949795	1.0747381	2.2399456	1.8906777	1.4734939	0.8452613	1.5301409	1.0806773	1.3953945	0.5703475	1.2051269	0.5665857	1.0780728	0.4250118	3.1633455	2.3568650	1.8350697	2.2013149	1.9141498	1.6506895	1.4539805	0.6238773	1.8944007	1.6690797	1.0281282	0.2410548	0.2004447	1.6241597	1.2210908	0.7099394	0.5938485	0.4958483	0.1078710	3.0271613	2.8217178	1.7508108	2.4311076	1.0267793	0.0297591	2.1127941	1.7893392	1.3724538	1.1142224	0.4245914	2.9507959	2.8410263	2.5991497	2.1498593	2.2112901	1.9885752	1.5844176	2.6298863	2.0876490	1.8781960	1.1607193	0.7592113	0.3609969	0.5973833	2.7143178	2.3283220	1.7967718	1.3198235	0.3498805	2.0007096	1.5314794	0.0403409	1.6093932	0.9903202	0.5210626	0.8592607	0.7010612	0.6160171	0.1594916	0.0008869	0.3958054	0.0017071	0.0010873	0.0948486	0.1197761	-265.295
4000	5.4077323	5.2887078	5.0861679	4.5904156	4.4769075	3.7217426	3.6950746	5.3248917	4.9858173	4.5613193	1.7943369	4.8190675	2.4382865	4.3948852	4.0177789	2.1319712	3.9382355	1.8063396	1.7771767	1.0883508	4.3106183	3.2396086	2.4037086	2.0992972	2.9731971	2.9080681	2.8093601	2.6535355	1.5115289	2.6780038	1.9433804	0.8698122	0.7397902	0.1761688	0.4002953	2.5105966	2.0065932	1.6287925	0.7029981	0.2143303	1.4530801	1.1158443	0.8532279	2.2456258	2.1857676	1.9394996	1.7281553	1.7321867	1.4801195	1.2621573	1.0958898	0.0512043	2.0053415	1.2664609	1.1316927	0.7311465	0.5459743	0.2392607	1.8051094	0.9425074	0.4489642	0.0394002	0.0322749	0.0296176	1.5630189	0.5346126	0.5026790	0.0047232	0.2095391	0.0231363	4.2481115	3.0505052	1.5075926	4.1619039	3.9114386	3.2830469	2.0439053	1.3067478	0.5302068	1.6551428	0.1621190	1.3490065	1.1016000	0.5910090	0.4245441	0.9604043	0.7545007	0.6143961	3.0475750	2.3448606	1.7641049	1.1402159	0.8871407	1.5522501	1.0818254	1.0053059	0.0967804	0.9099922	0.3998923	0.7148478	0.4140946	0.4086748	0.2838600	0.0067113	1.2928955	0.9974067	0.0284878	0.8064405	0.1238145	0.6880906	0.3248827	0.6278495	0.5347767	0.3585971	3.9418391	3.7589780	1.9337000	1.5558580	1.1939669	0.4521181	3.5824544	3.1859241	2.8389461	2.3588112	3.1952846	2.8518292	2.2028518	2.6874233	2.0501014	3.6450679	3.4976775	2.6102457	1.7559929	0.3933002	1.7997530	1.2473722	1.6885412	0.8354494	2.9867772	2.0455559	2.6211688	1.3335990	2.3284306	1.7296205	1.2623375	0.8190719	1.3512632	0.8964012	1.2260735	0.5057023	1.0997911	0.4423987	0.9774725	0.3409260	3.4012785	2.5145670	2.0296491	2.3614342	2.0569804	1.6138812	1.3037531	0.5816977	2.0455680	1.6840749	1.0880294	0.3490547	0.2639562	1.5899755	1.2576499	0.7081026	0.6397316	0.4857027	0.0853944	3.2050694	2.8373396	1.6933772	2.2271066	1.3252439	0.0459864	1.7995913	1.5677841	1.2023015	1.0354256	0.3121054	3.1376596	3.0293991	2.6373317	1.8902806	2.1556916	1.9483172	1.4911631	2.7808064	2.2160441	1.9979482	1.3226910	0.9405398	0.4791490	0.5898634	2.7516844	2.3195206	1.8038465	1.4238102	0.3835338	1.8731225	1.3520117	0.0293155	1.5003126	0.9668597	0.6835490	0.8410604	0.6949985	0.5523078	0.1115386	0.0036280	0.3704652	0.0026826	0.0026305	0.1148054	0.0930577	-274.545
5000	5.4316439	5.4075701	5.1442029	4.7059323	3.9903682	3.3253152	3.3719651	5.3444383	4.6884782	4.0400037	1.4474803	4.4987996	2.9290780	3.8103352	3.4144799	2.0859223	3.4033210	1.7823018	1.5845001	0.9454970	4.1546778	3.0291983	2.5846330	2.3022135	2.5753160	2.4599677	2.3423966	2.1850420	1.3802713	2.1923552	1.6898150	0.8893105	0.7236149	0.1677869	0.3906198	2.1422899	1.8498894	1.5897189	0.6220094	0.2493590	1.2799428	1.0165145	0.7916973	2.0066666	1.9039017	1.6946729	1.5060249	1.4433280	1.2715754	1.0752244	0.9495012	0.0254257	1.7494056	0.9413083	0.8204159	0.5358355	0.3712252	0.1385065	1.6048800	0.7979153	0.2979826	0.0582772	0.0442613	0.0418920	1.4627066	0.5018893	0.4850516	0.0063962	0.2472499	0.0216008	4.0376612	3.4695229	2.6313692	3.9712927	3.6138914	2.7985912	1.9581823	1.3538635	0.7122383	1.6197415	0.2274514	1.2671558	0.8628022	0.4821854	0.3441568	0.7438472	0.6216324	0.4695364	2.7518140	1.9809143	1.6556816	1.0439354	0.8690742	1.5067868	0.9807071	0.8128577	0.1233394	0.8026512	0.3049199	0.6503493	0.3464458	0.3964905	0.2809231	0.0087169	1.2493815	1.0142583	0.0171012	0.8369423	0.1232606	0.7502916	0.3198114	0.6843986	0.6097395	0.4421246	3.7860000	3.5993994	2.6393627	2.0631311	1.6566930	0.6054007	3.3854545	3.0197741	2.5754788	2.3573278	3.1966369	2.7457717	2.0869434	2.6771160	2.0046234	3.4925310	3.3194786	2.3657033	1.5088349	0.1616767	1.6664901	0.9645022	1.4694024	0.7927975	2.7007698	1.7033427	2.3372834	1.5277730	2.0768341	1.6036848	1.0957758	0.6026718	1.3280458	0.8963371	1.2248464	0.4539271	1.0698134	0.3968279	0.9670733	0.3525312	3.2873806	2.2961594	1.7092150	2.0991845	1.8420340	1.5629521	1.3461694	0.4180549	1.7232061	1.4547562	0.9398945	0.2256446	0.1765784	1.3830007	1.1465226	0.5142541	0.4761634	0.3676846	0.0849200	2.9588572	2.6211039	1.1464095	2.2161757	1.2235325	0.0443161	1.9789857	1.7537755	1.4498934	1.1230806	0.3043290	2.8565399	2.7263176	2.4000128	2.0088431	2.1295823	1.7845398	1.4871906	2.4954319	2.0665719	1.7723389	1.1031970	0.6357324	0.3215466	0.5071022	2.5119288	2.1787620	1.4843108	1.5491781	0.6127536	1.5767861	0.9517025	0.0157339	1.2798038	0.7917095	0.4672693	0.7298876	0.6264953	0.4973122	0.1142612	0.0017088	0.3209023	0.0052625	0.0047311	0.0852806	0.1242353	-281.400
6000	5.3998894	5.2997536	4.8985075	3.4158154	3.9149810	3.0424882	3.0852161	5.2834819	4.7771865	4.3145682	1.1285280	4.6897577	3.2861413	4.2874800	3.9506983	2.2589996	3.9665784	2.3266696	2.4797184	2.0154270	4.1978112	3.2190478	2.5591647	2.3642641	3.0266452	2.9150510	2.7878674	2.5973723	1.7228875	2.6704571	1.7675077	0.8272685	0.6707454	0.1441110	0.3521172	2.5441377	2.0827768	1.9131569	0.6241714	0.2853179	1.3602013	1.0161705	0.7733380	2.3734178	2.2747494	1.9271140	1.5904681	1.7276776	1.4910196	1.2516973	0.9946056	0.0233961	2.1500365	1.0663813	0.7911475	0.5605758	0.3668461	0.1118913	1.9553286	1.0957039	0.4561087	0.0937351	0.0870685	0.0751155	1.7723254	0.5591527	0.4918457	0.0096459	0.1950990	0.0114324	4.0453546	2.9999670	2.0518484	3.9699943	3.7314770	3.1646334	2.1336808	1.2260463	0.6112139	1.8141760	0.3004969	1.4240304	1.0228701	0.7089610	0.5335350	0.8908674	0.7458859	0.5907509	2.9948104	2.0666491	2.0040345	1.2931565	1.0489606	1.8049083	1.3036316	1.1092860	0.2226265	1.0321894	0.3951843	0.7543835	0.4373402	0.3645137	0.2164864	0.0049191	1.5887386	1.2916068	0.0342358	1.0274218	0.1214810	0.9457313	0.6121645	0.8758436	0.6782967	0.4620297	3.8000645	3.5217706	2.7082474	2.1203821	1.8435066	0.8409586	3.3288571	3.0297554	2.7960332	2.4480072	3.0816282	2.7037400	2.0149172	2.3825326	1.7221192	3.5661623	3.3835858	2.1482884	1.4615889	0.2374576	1.4480262	0.9177731	1.2743860	0.7560322	2.9832604	1.8640379	2.4308794	1.2365529	2.2018833	1.8495811	1.3399810	0.7559403	1.4789838	0.9393472	1.3643676	0.4691054	1.1997013	0.4361553	1.0299896	0.3938793	3.2232512	2.2636205	1.7913823	2.1155357	1.8803865	1.6253553	1.4637540	0.7019857	1.9131153	1.6552914	0.8898106	0.3770048	0.3139848	1.5964428	1.2420577	0.7840180	0.6501569	0.5063934	0.0928846	2.9287147	2.6611636	1.9075696	2.3232135	0.8692520	0.0280304	2.0821693	1.7759307	1.4021753	1.1799822	0.4542078	2.8280208	2.6667510	2.3662074	2.1411949	2.0959735	1.9268341	1.5872494	2.4943955	2.0125425	1.8553424	1.1323696	0.8503038	0.4418979	0.5693107	2.5121859	2.1495997	1.5280554	1.3302497	0.5468241	1.9594950	1.5707540	0.0133196	1.6775111	1.1832257	0.7507585	0.9919026	0.7673198	0.6514547	0.1531656	0.0075509	0.3890583	0.0010161	0.0002795	0.0889355	0.1195742	-322.583
7000	5.3277485	5.1552965	4.7779437	3.6980796	2.8092792	2.2290583	2.2260976	5.3167256	5.0054860	4.5144961	1.7847828	4.7913920	2.5785306	4.4289271	4.1494693	3.1079088	4.0184024	1.7040058	2.7656393	2.0789385	4.0568813	2.9028569	2.1538639	1.7716759	2.7151187	2.6132171	2.4606197	2.3434689	1.1149195	2.3875195	1.8595032	0.9508849	0.7773657	0.1867224	0.3628057	2.3393137	1.8619750	1.6277605	0.8398608	0.4370986	1.4132794	1.1634487	0.8345773	2.1981968	2.1065453	1.7984772	1.5119240	1.5433571	1.2189245	1.0138431	0.8566865	0.0143544	1.9107972	0.9491284	0.7763652	0.5293919	0.3712977	0.1358226	1.7141492	0.9197646	0.3935473	0.0587943	0.0496303	0.0325965	1.5036289	0.4876039	0.4698509	0.0187502	0.1980472	0.0147496	3.9595178	2.6271107	1.2808167	3.7415303	3.3875588	2.8653698	2.1128374	1.1919133	0.5353096	1.7564178	0.2467650	1.3516422	1.0332148	0.6864016	0.5405645	0.8814948	0.7645647	0.6269885	2.5755924	1.9124139	1.8046936	1.1213203	0.7927633	1.6758362	1.2334352	1.1316655	0.2475579	0.9100453	0.3537966	0.7566750	0.3862619	0.4500301	0.2900699	0.0083089	1.4268678	1.2286518	0.0355932	0.9715354	0.1793798	0.8820223	0.4294755	0.7572112	0.6639483	0.4967459	3.6068794	3.4830626	2.5120411	2.1273197	1.7645611	0.6466669	3.2963636	2.9072779	2.7066425	2.0518380	3.0105819	2.5893364	1.9399297	2.4438297	1.7498910	3.3360275	3.1955020	2.2621364	1.4784153	0.1834366	1.3728164	0.7255130	1.2680858	0.7199053	2.8127438	2.0286631	2.3469324	1.3341631	2.1891606	1.6267707	1.0093838	0.6520685	1.3357149	0.9368561	1.2216255	0.3528237	1.0126979	0.4409732	0.9406252	0.3394794	3.1794403	2.2743225	1.6445193	2.1540436	1.9071423	1.5995037	1.3489104	0.6164868	1.9716920	1.7296148	0.9464420	0.3908617	0.3443484	1.7377359	1.4731141	0.8737678	0.7319656	0.5877380	0.1429911	2.9324101	2.7329058	1.6531112	2.2774310	1.0093702	0.0428477	1.9014151	1.6151527	1.2360774	1.0337249	0.4187667	2.8152862	2.6632620	2.3115270	1.9452972	2.0295857	1.7921141	1.3745116	2.4387414	2.0252146	1.8330807	0.9821318	0.6019465	0.2972709	0.3832184	2.5009218	2.1393627	1.5279328	1.4330700	0.4355931	1.8443390	1.3043083	0.0176734	1.5461002	1.0012957	0.5819337	0.8587085	0.6655533	0.6107656	0.1349474	0.0023523	0.3845158	0.0042008	0.0037817	0.1094345	0.1342672	-300.487

