Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	mu_bar	sigma2_1	sigma2_2	sigma2_3	sigma2_bar	lnL
1	0.1707331	0.1578863	0.0969486	0.0723155	0.0341974	0.0575195	0.3873853	0.1554352	1.4370241	0.2717014	0.0127155	0.0274046	0.0256235	0.0395836	-34996.534
2	0.1707331	0.1578863	0.1015145	0.0723155	0.0303649	0.0575195	0.3748988	0.1554352	1.4370241	0.2717014	0.0060608	0.0274046	0.0193163	0.0395836	-34996.336
4	0.1707331	0.1545162	0.1093209	0.0723155	0.0303649	0.0575195	0.3748988	0.1452476	1.4370241	0.1735743	0.0060608	0.0156368	0.0500575	0.0395836	-34999.301
6	0.1707331	0.1545162	0.1043978	0.0705160	0.0303649	0.0541634	0.3748988	0.1274257	1.4042722	0.1716887	0.0185059	0.0419353	0.0498133	0.0742527	-34998.526
8	0.1548211	0.1401156	0.0897064	0.0639440	0.0275349	0.0526424	0.4134297	0.1452060	1.7075814	0.3515907	0.0089885	0.0297065	0.0198257	0.0269854	-34993.519
10	0.1507943	0.1426399	0.0848620	0.0597739	0.0275349	0.0526424	0.4134297	0.1596723	1.7714238	0.3515907	0.0059467	0.0297065	0.0102279	0.0413038	-34999.556
12	0.1722476	0.1629331	0.1017037	0.0764470	0.0314523	0.0601317	0.3619374	0.1468358	1.3956213	0.3515907	0.0059467	0.0297065	0.0102279	0.0180137	-34997.511
14	0.1749861	0.1655235	0.1045285	0.0773253	0.0319523	0.0627549	0.3443353	0.1288539	1.3737803	0.3515907	0.0059467	0.0297065	0.0102279	0.0180137	-34999.099
16	0.1390074	0.1314904	0.0830365	0.0614265	0.0242933	0.0470646	0.4334581	0.1569178	1.7293499	0.3515907	0.0059467	0.0297065	0.0087801	0.0180137	-35003.470
18	0.1387352	0.1293463	0.0830365	0.0614265	0.0242933	0.0470646	0.4334581	0.1569178	1.7293499	0.3515907	0.0030835	0.0297065	0.0122293	0.0180137	-35003.128
20	0.1554464	0.1449265	0.0959060	0.0718129	0.0287236	0.0513397	0.3868596	0.1530332	1.5434376	0.2447484	0.0058541	0.0297065	0.0200540	0.0180137	-34995.154
22	0.1681282	0.1567501	0.1037303	0.0776185	0.0327006	0.0555281	0.3748232	0.1291704	1.7537677	0.2447484	0.0058541	0.0297065	0.0152061	0.0363304	-34995.682
24	0.1299511	0.1179543	0.0820704	0.0603216	0.0250582	0.0439333	0.4737460	0.1632608	1.8810647	0.2447484	0.0127594	0.0297065	0.0152061	0.0168663	-34995.925
26	0.1261956	0.1238768	0.0820704	0.0603216	0.0262196	0.0468060	0.4737460	0.1790839	1.8810647	0.2447484	0.0127594	0.0129258	0.0152061	0.0168663	-34993.617
28	0.1114067	0.1059598	0.0702001	0.0515969	0.0224273	0.0400362	0.5061345	0.1990088	2.1991384	0.3726663	0.0127594	0.0129258	0.0152061	0.0168663	-34994.081
30	0.1377704	0.1361237	0.0941847	0.0697863	0.0284225	0.0507385	0.3993751	0.1674004	1.7352722	0.3726663	0.0127594	0.0117515	0.0197123	0.0168663	-35001.877
32	0.1430456	0.1414409	0.0909572	0.0664560	0.0320416	0.0507385	0.3993751	0.1674004	1.7925703	0.3726663	0.0057218	0.0117515	0.0197123	0.0168663	-34997.066
34	0.1422442	0.1389586	0.0900101	0.0657640	0.0303359	0.0468354	0.4035771	0.1705384	1.6279064	0.3726663	0.0057218	0.0047980	0.0152378	0.0050171	-34996.767
36	0.1608519	0.1525957	0.0988435	0.0705655	0.0333130	0.0514317	0.3675105	0.1552978	1.4824245	0.3726663	0.0057218	0.0047980	0.0240457	0.0365531	-35001.485
38	0.1630994	0.1492964	0.0988435	0.0755246	0.0363086	0.0545963	0.3675105	0.1552978	1.4824245	0.2140977	0.0022888	0.0113640	0.0240457	0.0309996	-35004.622
40	0.1702182	0.1492964	0.0969132	0.0729667	0.0363086	0.0542627	0.3675105	0.1552978	1.4824245	0.1940217	0.0039791	0.0152498	0.0159606	0.0109264	-34999.450
42	0.1664854	0.1547389	0.0969132	0.0729667	0.0346101	0.0588653	0.3675105	0.1552978	1.4824245	0.3463212	0.0039791	0.0152498	0.0266790	0.0370429	-34998.342
44	0.1664854	0.1594996	0.1011793	0.0729667	0.0346101	0.0588653	0.3675105	0.1552978	1.4824245	0.3463212	0.0039791	0.1019879	0.0363177	0.0370429	-34998.247
46	0.1609921	0.1594996	0.1011793	0.0729667	0.0346101	0.0530132	0.3675105	0.1530912	1.4824245	0.3463212	0.0069934	0.1019879	0.0228085	0.0370429	-34997.078
48	0.1609921	0.1557568	0.1031885	0.0784327	0.0346101	0.0530132	0.3644219	0.1586143	1.5631656	0.3463212	0.0069934	0.1019879	0.0363800	0.0895103	-34995.466
50	0.1360184	0.1356912	0.0900134	0.0632544	0.0299075	0.0458101	0.4468391	0.1709214	1.8089544	0.3463212	0.0150880	0.1019879	0.0193790	0.0416649	-34997.272
52	0.1479806	0.1476246	0.0949688	0.0726720	0.0287871	0.0498389	0.4117339	0.1621574	1.8518549	0.3463212	0.0150880	0.0278905	0.0187632	0.0416649	-34995.110
54	0.1213658	0.1178989	0.0778883	0.0596017	0.0236096	0.0408752	0.5020249	0.1960395	2.2579562	0.3463212	0.0150880	0.0278905	0.0187632	0.0263616	-34992.726
56	0.1554796	0.1525922	0.1008080	0.0723356	0.0305571	0.0529033	0.3878847	0.1439490	1.7445882	0.3463212	0.0080605	0.0278905	0.0260650	0.0263616	-34993.828
58	0.1554796	0.1525922	0.1034066	0.0698644	0.0305571	0.0529033	0.3878847	0.1286262	1.5091382	0.3463212	0.0080605	0.0278905	0.0177320	0.0263616	-34999.502
60	0.1453888	0.1428198	0.0973683	0.0629666	0.0281846	0.0534643	0.4011229	0.1427170	1.6391823	0.1978015	0.0080605	0.0278905	0.0259577	0.0126335	-35001.901
62	0.1698036	0.1680516	0.1107345	0.0738184	0.0360093	0.0641820	0.3421548	0.1217365	1.4336577	0.1978015	0.0167374	0.0278905	0.0403587	0.0582633	-34995.649
64	0.1508426	0.1421402	0.0917314	0.0624366	0.0298084	0.0542860	0.4045278	0.1509152	1.6950058	0.4196959	0.0167374	0.0278905	0.0403587	0.0297531	-34993.895
66	0.1685996	0.1645026	0.0992891	0.0722595	0.0337833	0.0585497	0.3814657	0.1252641	1.4645873	0.4196959	0.0464892	0.0278905	0.0271748	0.0297531	-34994.747
68	0.1685996	0.1645026	0.0992891	0.0758167	0.0385391	0.0585497	0.3501218	0.1368758	1.4645873	0.4196959	0.0248000	0.0278905	0.0265813	0.2410958	-34998.235
70	0.1444409	0.1350193	0.0850620	0.0649529	0.0288969	0.0553641	0.4175161	0.1597692	1.7095489	0.1897996	0.0096508	0.0486792	0.0265813	0.0437460	-34991.495
72	0.1489504	0.1401751	0.0879298	0.0649529	0.0273407	0.0553641	0.4175161	0.1472219	1.7095489	0.1897996	0.0096508	0.0300516	0.0349793	0.0437460	-34996.082
74	0.1625659	0.1483805	0.0906305	0.0693246	0.0273407	0.0524139	0.4059563	0.1530556	1.7095489	0.1897996	0.0169580	0.0300516	0.0181289	0.0437460	-34995.161
76	0.1634949	0.1483805	0.0906305	0.0666386	0.0249140	0.0561210	0.4260264	0.1598281	1.7095489	0.3952480	0.0169580	0.0300516	0.0312077	0.0437460	-34995.537
78	0.1634949	0.1580617	0.0937210	0.0666386	0.0249140	0.0523909	0.4260264	0.1598281	1.7095489	0.2524043	0.0067251	0.0300516	0.0165896	0.0437460	-34992.869
80	0.1617259	0.1584824	0.0999544	0.0666386	0.0274816	0.0542808	0.4062704	0.1722769	1.7095489	0.2524043	0.0067251	0.0300516	0.0165896	0.1289560	-34999.111
82	0.1617259	0.1574067	0.1037447	0.0702503	0.0319148	0.0583487	0.3691109	0.1617644	1.7095489	0.2524043	0.0186549	0.0300516	0.0183396	0.1289560	-34993.205
84	0.1617259	0.1552422	0.0996908	0.0702503	0.0292855	0.0583487	0.3691109	0.1450463	1.6570198	0.2524043	0.0082120	0.0132638	0.0196279	0.0361643	-34994.708
86	0.1617259	0.1552422	0.1020549	0.0728194	0.0260504	0.0583487	0.3691109	0.1629704	1.5113177	0.4108814	0.0157414	0.0132638	0.0594814	0.0361643	-34999.070
88	0.1555777	0.1498179	0.1020549	0.0728194	0.0269770	0.0645753	0.3761658	0.1629704	1.5651253	0.3142564	0.0287737	0.0420958	0.0303716	0.0572056	-35005.710
90	0.1546290	0.1512773	0.1017663	0.0687267	0.0269007	0.0578570	0.3881083	0.1791887	1.5695636	0.3142564	0.0203305	0.0805238	0.0303716	0.0572056	-34996.381
92	0.1553722	0.1512773	0.0981946	0.0696035	0.0269007	0.0578570	0.3881083	0.1785792	1.5695636	0.3142564	0.0203305	0.0363160	0.0230262	0.1939711	-34996.055
94	0.1630916	0.1512773	0.0973569	0.0696035	0.0253318	0.0578570	0.3920344	0.1839761	1.5695636	0.3142564	0.0203305	0.0363160	0.0230262	0.1939711	-34998.934
96	0.1664101	0.1594383	0.1017354	0.0669664	0.0253318	0.0553043	0.3920344	0.1591967	1.5695636	0.3142564	0.0122736	0.0363160	0.0230262	0.1939711	-34999.601
98	0.1682563	0.1528031	0.0974422	0.0643826	0.0277339	0.0553043	0.3920344	0.1628997	1.5695636	0.3142564	0.0085060	0.0363160	0.0230262	0.0482048	-34995.936
100	0.1787738	0.1716764	0.1074768	0.0787518	0.0335784	0.0640501	0.3385036	0.1406563	1.5279730	0.3142564	0.0085060	0.0363160	0.0379224	0.0117621	-34995.136
102	0.1567500	0.1463593	0.0916272	0.0639714	0.0286266	0.0524939	0.4082615	0.1649869	1.5728261	0.1754471	0.0085060	0.0124180	0.0246852	0.0117621	-34993.918
104	0.1812879	0.1692706	0.1059707	0.0739856	0.0316535	0.0669468	0.3530021	0.1336892	1.3798299	0.1754471	0.0085060	0.0124180	0.0283266	0.0212801	-34998.696
106	0.1896456	0.1745351	0.1059707	0.0708755	0.0352789	0.0647275	0.3530021	0.1336892	1.3798299	0.4244906	0.0085060	0.0732170	0.0459615	0.0213352	-35002.566
108	0.1593307	0.1473467	0.0908554	0.0595460	0.0268188	0.0543808	0.4611585	0.1738692	1.6423619	0.5670320	0.0085060	0.0214977	0.0532763	0.0646784	-34999.387
110	0.1534838	0.1469014	0.0905809	0.0593661	0.0267378	0.0542164	0.4625565	0.1743963	1.6473406	0.3379296	0.0085060	0.0497683	0.0532763	0.0646784	-34994.836
112	0.1784706	0.1708165	0.0954192	0.0643968	0.0310906	0.0670232	0.3800764	0.1405081	1.4167047	0.2380694	0.0080747	0.0145157	0.0286622	0.0124928	-34993.912
114	0.1748653	0.1641274	0.0912031	0.0643968	0.0324297	0.0670232	0.3446042	0.1414577	1.4167047	0.2380694	0.0222692	0.0178247	0.0572365	0.0311508	-35001.741
116	0.1748653	0.1641274	0.0973196	0.0689798	0.0335941	0.0607055	0.3446042	0.1414577	1.4167047	0.2380694	0.0095247	0.0497022	0.0409407	0.0718418	-34992.353
118	0.1497184	0.1399104	0.0829601	0.0610560	0.0286373	0.0517484	0.4042515	0.1659425	1.6619209	0.2380694	0.0147334	0.0499881	0.0478019	0.0188497	-34994.046
120	0.1654281	0.1545910	0.0916649	0.0674625	0.0316421	0.0571783	0.3658622	0.1429888	1.5040985	0.2380694	0.0147334	0.0499881	0.0594835	0.0907061	-34999.410
122	0.1703623	0.1613622	0.0943363	0.0674625	0.0316421	0.0598903	0.3586480	0.1747334	1.5040985	0.2380694	0.0147334	0.0597766	0.0594835	0.0253368	-34988.464
124	0.1703623	0.1552555	0.0943363	0.0674625	0.0316421	0.0598903	0.3862582	0.1824731	1.5040985	0.3221191	0.0147334	0.1119055	0.0594835	0.0634796	-34996.609
126	0.1517450	0.1464344	0.0879152	0.0572377	0.0281842	0.0533454	0.4336477	0.1870432	1.7824656	0.3221191	0.0322517	0.1119055	0.0594835	0.0634796	-34993.122
128	0.1470083	0.1356262	0.0853540	0.0555702	0.0273632	0.0517914	0.4466598	0.1621456	1.6813564	0.3221191	0.0240892	0.1119055	0.0348052	0.0944470	-34992.257
130	0.1692744	0.1586424	0.1013432	0.0639870	0.0315076	0.0596358	0.4163621	0.1429223	1.3443342	0.3221191	0.0192708	0.0443468	0.0861275	0.1522825	-34990.409
132	0.1345145	0.1260657	0.0805327	0.0547972	0.0270887	0.0504855	0.4935872	0.1798549	1.6917244	0.3221191	0.0122434	0.0443468	0.0861275	0.0442635	-34997.864
134	0.1382693	0.1295847	0.0826476	0.0563269	0.0278448	0.0518948	0.4801833	0.1782452	1.8895418	0.3221191	0.0273582	0.0443468	0.1324554	0.1002864	-34989.093
136	0.1441216	0.1350694	0.0861457	0.0587109	0.0290234	0.0473453	0.4272796	0.1577600	1.8128141	0.3221191	0.0136539	0.0443468	0.0471747	0.1002864	-34993.845
138	0.1326584	0.1290515	0.0792938	0.0547138	0.0235464	0.0470359	0.4317950	0.2082670	1.9694617	0.3221191	0.0095904	0.0443468	0.0311393	0.0508637	-34994.675
140	0.1524202	0.1476775	0.0920595	0.0665482	0.0301163	0.0546083	0.4302294	0.1618553	1.6963611	0.3006886	0.0095904	0.0196123	0.0186033	0.2034021	-34994.898
142	0.1376833	0.1312607	0.0818255	0.0591502	0.0267684	0.0442948	0.4698077	0.1820987	1.7475117	0.3381341	0.0208540	0.0400759	0.0253238	0.0391277	-34990.451
144	0.1426058	0.1359536	0.0880932	0.0612650	0.0294459	0.0516112	0.4535907	0.1594283	1.7926220	0.3381341	0.0161400	0.0400759	0.0432027	0.0391277	-34991.917
146	0.1622382	0.1600622	0.1002210	0.0731484	0.0320584	0.0587165	0.4148495	0.1401359	1.4782578	0.3381341	0.0161400	0.0400759	0.0432027	0.0391277	-34997.168
148	0.1552916	0.1507231	0.0943734	0.0668590	0.0281906	0.0533277	0.4137254	0.1552212	1.6381514	0.3456952	0.0161400	0.0400759	0.0432027	0.1388478	-34991.694
150	0.1551578	0.1497984	0.0943734	0.0668590	0.0281906	0.0498373	0.3926633	0.1418493	1.6381514	0.5531709	0.0025505	0.0343952	0.0265385	0.0513032	-34998.014
152	0.1439541	0.1398151	0.0866840	0.0634296	0.0267446	0.0472809	0.3984668	0.1388703	1.7267224	0.5007666	0.0038012	0.0343952	0.0120622	0.0513032	-34995.089
154	0.1408660	0.1398151	0.0911228	0.0634296	0.0246009	0.0457402	0.4326110	0.1462031	1.7267224	0.5007666	0.0015679	0.0343952	0.0120622	0.0513032	-34998.994
156	0.1408660	0.1398151	0.0873920	0.0634296	0.0246009	0.0457402	0.4326110	0.1431640	1.7267224	0.2401397	0.0006697	0.0875221	0.0268013	0.0205927	-34995.167
158	0.1408660	0.1398151	0.0873920	0.0634296	0.0246009	0.0491010	0.4326110	0.1492452	1.9161125	0.2401397	0.0011043	0.0271901	0.0151740	0.0205927	-34994.773
160	0.1408660	0.1401371	0.0873920	0.0666876	0.0269076	0.0524766	0.4326110	0.1492452	1.9161125	0.2401397	0.0018618	0.0271901	0.0217166	0.0205927	-34995.894
162	0.1420109	0.1412761	0.0881023	0.0644863	0.0271263	0.0529031	0.4291233	0.1674636	1.6634210	0.3635711	0.0018618	0.1107388	0.0217166	0.0205927	-34990.735
164	0.1420109	0.1412761	0.0881023	0.0618771	0.0271263	0.0486245	0.4291233	0.1613674	1.6634210	0.3635711	0.0052478	0.0331126	0.0173376	0.0205927	-34990.673
166	0.1260285	0.1231263	0.0778672	0.0578253	0.0239750	0.0429757	0.4855287	0.1729253	1.8820667	0.3635711	0.0022928	0.0173596	0.0173376	0.0205927	-34990.803
168	0.1357684	0.1324600	0.0838850	0.0622942	0.0258278	0.0462969	0.4506975	0.1720329	1.7470498	0.3635711	0.0041747	0.0101169	0.0255712	0.0650350	-34993.444
170	0.1383119	0.1293558	0.0846077	0.0655588	0.0269830	0.0466958	0.4468474	0.1705633	1.8694350	0.2824025	0.0100626	0.0101169	0.0239211	0.0650350	-34996.287
172	0.1154427	0.1112847	0.0727880	0.0542865	0.0232135	0.0385174	0.5194092	0.1982604	2.1730053	0.2824025	0.0050060	0.0101169	0.0150935	0.0210081	-34993.058
174	0.1452368	0.1340668	0.0876890	0.0654000	0.0279657	0.0464026	0.4311456	0.1715358	1.8037448	0.2824025	0.0050060	0.0215855	0.0257019	0.0210081	-34998.085
176	0.1659144	0.1567936	0.1025540	0.0743716	0.0337116	0.0542687	0.3686522	0.1466722	1.5422970	0.2883777	0.0050060	0.0215855	0.0218199	0.0172939	-34994.509
178	0.1659144	0.1567936	0.1003644	0.0754329	0.0337116	0.0542687	0.3686522	0.1466722	1.4283004	0.2022417	0.0032677	0.0215855	0.0223493	0.0416298	-34996.384
180	0.1659144	0.1567936	0.0974917	0.0727816	0.0337116	0.0542687	0.3686522	0.1391504	1.6338527	0.2022417	0.0060377	0.0215855	0.0484399	0.0144113	-34993.323
182	0.1659144	0.1567936	0.1032317	0.0727816	0.0327541	0.0542687	0.3686522	0.1391504	1.6338527	0.2611961	0.0112414	0.0215855	0.0255019	0.0144113	-34993.258
184	0.1569335	0.1410925	0.0898183	0.0654933	0.0294741	0.0532546	0.4096767	0.1546353	1.6785233	0.2611961	0.0112414	0.0100825	0.0239585	0.0144113	-34998.630
186	0.1831617	0.1646731	0.1048295	0.0764392	0.0344001	0.0572729	0.3510124	0.1324921	1.4381645	0.2611961	0.0065395	0.0280942	0.0239585	0.0094768	-34991.292
188	0.1882549	0.1692522	0.1077446	0.0796044	0.0336801	0.0633025	0.3415158	0.1163507	1.3992551	0.2611961	0.0065395	0.0280942	0.0156304	0.0183837	-34991.176
190	0.1882549	0.1617368	0.1077446	0.0789703	0.0336801	0.0633025	0.3415158	0.1292447	1.3992551	0.2611961	0.0146430	0.0280942	0.0119188	0.0183837	-34993.210
192	0.1806312	0.1617368	0.1077446	0.0789703	0.0336801	0.0633025	0.3415158	0.1292447	1.3992551	0.2611961	0.0146430	0.0280942	0.0119188	0.0183837	-34994.549
194	0.1806312	0.1617368	0.1077446	0.0843256	0.0336801	0.0633025	0.3675827	0.1353477	1.2576461	0.2611961	0.0105579	0.0280942	0.0119188	0.0183837	-35005.231
196	0.1497346	0.1359891	0.0915472	0.0649345	0.0279192	0.0524747	0.4476060	0.1632757	1.7997482	0.2611961	0.0055759	0.0280942	0.0119188	0.0183837	-35004.543
198	0.1325790	0.1204084	0.0777012	0.0574947	0.0247204	0.0464625	0.5055259	0.1844034	1.8225195	0.2611961	0.0125805	0.0280942	0.0145181	0.0183837	-34995.230
200	0.1607348	0.1519844	0.0942026	0.0697049	0.0274515	0.0563298	0.4169731	0.1521016	1.6843165	0.2611961	0.0125805	0.0280942	0.0145181	0.0183837	-34996.240
202	0.1652069	0.1519844	0.0971000	0.0745120	0.0274515	0.0600593	0.3891648	0.1576505	1.6049496	0.2611961	0.0125805	0.0424183	0.0145181	0.0442671	-35002.688
204	0.1640400	0.1552112	0.1038865	0.0709987	0.0299549	0.0600593	0.3981237	0.1791821	1.6049496	0.2611961	0.0147207	0.0424183	0.0275714	0.0162362	-34993.216
206	0.1640400	0.1577203	0.1038865	0.0709987	0.0299549	0.0600593	0.3707217	0.1791821	1.6049496	0.2611961	0.0079698	0.0964361	0.0275714	0.0439363	-34993.222
208	0.1748509	0.1577203	0.1063006	0.0804597	0.0310503	0.0600593	0.3401346	0.1674922	1.3392484	0.2611961	0.0188970	0.0964361	0.0275714	0.0439363	-35001.526
210	0.1546310	0.1453797	0.1039486	0.0777119	0.0304949	0.0553601	0.3942374	0.1898084	1.5338017	0.2611961	0.0188970	0.0964361	0.0178506	0.0820827	-35001.425
212	0.1672482	0.1572420	0.1124303	0.0774663	0.0329831	0.0598772	0.3644963	0.1563416	1.4180924	0.2611961	0.0124310	0.0964361	0.0178506	0.0324695	-34996.667
214	0.1663862	0.1572420	0.1077497	0.0774663	0.0353594	0.0598772	0.4058130	0.1694116	1.4180924	0.2611961	0.0269504	0.0964361	0.0135226	0.0803218	-34997.051
216	0.1740115	0.1572420	0.1041547	0.0774663	0.0322572	0.0598772	0.3787396	0.1695369	1.4180924	0.2611961	0.0269504	0.0964361	0.0195256	0.1648433	-34990.670
218	0.1740115	0.1572420	0.1041547	0.0774663	0.0346033	0.0598772	0.3787396	0.1619353	1.4180924	0.2611961	0.0190303	0.0964361	0.0380250	0.0845475	-34985.988
220	0.1661922	0.1572420	0.1082984	0.0774663	0.0339371	0.0636300	0.4120896	0.1466157	1.5618542	0.2611961	0.0947514	0.0964361	0.0332341	0.1959480	-34996.938
222	0.1350705	0.1226945	0.0813701	0.0629597	0.0259372	0.0517144	0.4714910	0.1935935	1.9217228	0.2588360	0.0158205	0.0964361	0.0455065	0.0758933	-34987.952
224	0.1453451	0.1320277	0.0875598	0.0661081	0.0279102	0.0556483	0.4129984	0.1975669	1.7858737	0.3576968	0.0090900	0.0964361	0.0350748	0.0810269	-34990.105
226	0.1453451	0.1320277	0.0875598	0.0661081	0.0268411	0.0556483	0.4401999	0.1951193	1.7858737	0.3576968	0.0061931	0.0964361	0.0350748	0.0810269	-34993.448
228	0.1453451	0.1320277	0.0875598	0.0642359	0.0262831	0.0556483	0.4401999	0.1768133	1.7858737	0.3576968	0.0032298	0.0964361	0.0172324	0.0810269	-34992.130
230	0.1229158	0.1116535	0.0740478	0.0543232	0.0222271	0.0446590	0.5205261	0.2021162	2.1117543	0.3357376	0.0161120	0.0758639	0.0338485	0.0607933	-34988.479
232	0.1092246	0.0992168	0.0679798	0.0503739	0.0197513	0.0396846	0.5857735	0.2027707	2.3764601	0.3357376	0.0161120	0.0903419	0.0224331	0.0607933	-34992.612
234	0.1248399	0.1183462	0.0766578	0.0572619	0.0222613	0.0433956	0.4785750	0.1875782	1.9923306	0.3357376	0.0164029	0.0903419	0.0087166	0.0607933	-34998.167
236	0.1354709	0.1305415	0.0831858	0.0621381	0.0217761	0.0430246	0.4410190	0.1615518	1.8359829	0.3357376	0.0059051	0.0903419	0.0200941	0.1250899	-34996.264
238	0.1455728	0.1450367	0.0924226	0.0725872	0.0268375	0.0478020	0.3969430	0.1497039	1.6524925	0.3357376	0.0106252	0.0432892	0.0302086	0.0433937	-34998.000
240	0.1492503	0.1450367	0.0950377	0.0686818	0.0268375	0.0478020	0.3814794	0.1627298	1.6524925	0.3357376	0.0042615	0.0432892	0.0160816	0.0433937	-34993.567
242	0.1353506	0.1255834	0.0789359	0.0594697	0.0232379	0.0413905	0.4696885	0.1879371	1.9084686	0.3357376	0.0042615	0.0432892	0.0085487	0.0097121	-34993.597
244	0.1762837	0.1635627	0.1058560	0.0762940	0.0323538	0.0539079	0.3606269	0.1524003	1.4653225	0.3357376	0.0075203	0.0432892	0.0196628	0.0304532	-34990.346
246	0.1665090	0.1584679	0.1058560	0.0762940	0.0329820	0.0514617	0.3606269	0.1524003	1.4653225	0.3357376	0.0075203	0.0432892	0.0196628	0.0628269	-34996.667
248	0.1665090	0.1593090	0.1058560	0.0762940	0.0329820	0.0514617	0.3842633	0.1402937	1.4653225	0.3357376	0.0236816	0.0432892	0.0196628	0.0205732	-34994.572
250	0.1570947	0.1560727	0.1017858	0.0733604	0.0317138	0.0494829	0.3869587	0.1459039	1.5239188	0.3357376	0.0236816	0.0432892	0.0196628	0.0639965	-34995.578
252	0.1627144	0.1560727	0.1017858	0.0707024	0.0299963	0.0494829	0.4100121	0.1350542	1.5239188	0.2456650	0.0085043	0.0432892	0.0263985	0.0410203	-34992.906
254	0.1639712	0.1591480	0.1017858	0.0707024	0.0288219	0.0494829	0.4210374	0.1505352	1.5239188	0.3383505	0.0333218	0.0432892	0.0458024	0.0804290	-34991.804
256	0.1672883	0.1591480	0.1017858	0.0671399	0.0287026	0.0494829	0.3828929	0.1415824	1.4704720	0.3383505	0.0483281	0.0432892	0.0630706	0.0804290	-34987.553
258	0.1672883	0.1517768	0.0996176	0.0671399	0.0280233	0.0471961	0.3969869	0.1441120	1.6374450	0.3383505	0.0252189	0.0432892	0.0497218	0.0804290	-34991.954
260	0.1618244	0.1445168	0.0902514	0.0621320	0.0281603	0.0478884	0.3817957	0.1632676	1.5459716	0.1954154	0.0579712	0.0432892	0.0497218	0.0804290	-34990.979
262	0.1399000	0.1249374	0.0780240	0.0537142	0.0243451	0.0386006	0.4808582	0.1853270	1.7882474	0.4577640	0.0139599	0.0432892	0.0282105	0.0448360	-34993.439
264	0.1708958	0.1477420	0.0915187	0.0635186	0.0287887	0.0456463	0.4066357	0.1587617	1.7025923	0.4577640	0.0239743	0.0209765	0.0395416	0.0142320	-34992.608
266	0.1841350	0.1681629	0.1028721	0.0684393	0.0310190	0.0491825	0.3773989	0.1429933	1.5801771	0.4338972	0.0239743	0.0209765	0.0661672	0.0558993	-34992.338
268	0.1841350	0.1681629	0.1058884	0.0648628	0.0284411	0.0520138	0.3956937	0.1429933	1.5801771	0.4338972	0.0447295	0.0209765	0.0661672	0.1446160	-34989.125
270	0.1685739	0.1539515	0.0925804	0.0578212	0.0260375	0.0476181	0.4127446	0.1591171	1.7260442	0.2039751	0.0143949	0.0431225	0.0745579	0.0949275	-34994.047
272	0.1801013	0.1644791	0.0989112	0.0617752	0.0278181	0.0508744	0.3863267	0.1489327	1.6155681	0.3062573	0.0193711	0.0431225	0.1140320	0.0949275	-34990.758
274	0.1801013	0.1599877	0.0902954	0.0617752	0.0278181	0.0539528	0.3863267	0.1489327	1.6155681	0.3062573	0.0193711	0.0133470	0.0630105	0.0348693	-34995.373
276	0.1890696	0.1679544	0.0940898	0.0653205	0.0264827	0.0513885	0.3782673	0.1346181	1.5389357	0.3062573	0.0193711	0.0097588	0.0630105	0.0331583	-34997.049
278	0.1609496	0.1429748	0.0832643	0.0556055	0.0225440	0.0437456	0.4206226	0.1581376	2.0410231	0.4244143	0.0193711	0.0053879	0.0343451	0.0331583	-34996.831
280	0.1609496	0.1393909	0.0792607	0.0556055	0.0252337	0.0419692	0.4522474	0.1581376	1.7703463	0.4244143	0.0379490	0.0108839	0.0453829	0.0101922	-34997.623
282	0.1609496	0.1393909	0.0809275	0.0556055	0.0266742	0.0470569	0.4522474	0.1581376	1.7703463	0.1750562	0.0434791	0.0108839	0.0453829	0.0556242	-34996.309
284	0.1836519	0.1590523	0.0923425	0.0634488	0.0278165	0.0536943	0.3870082	0.1319806	1.5515032	0.2992718	0.0125540	0.0108839	0.0453829	0.0556242	-35000.247
286	0.1706354	0.1590523	0.0923425	0.0634488	0.0278165	0.0536943	0.3870082	0.1445709	1.5515032	0.2992718	0.0125540	0.0108839	0.0294909	0.0194671	-34997.904
288	0.1706354	0.1590523	0.0894704	0.0625056	0.0278165	0.0593375	0.3870082	0.1445709	1.7262919	0.2992718	0.0125540	0.0108839	0.0350118	0.0194671	-34996.586
290	0.1308376	0.1255034	0.0705984	0.0493213	0.0219491	0.0444148	0.4904613	0.1887454	1.8041454	0.2250892	0.0125540	0.0233425	0.0287689	0.1003758	-34994.058
292	0.1308376	0.1258754	0.0705984	0.0493658	0.0203164	0.0444148	0.4677383	0.2018568	2.0803352	0.2250892	0.0049976	0.0331607	0.0287689	0.0108841	-34994.545
294	0.1485004	0.1441648	0.0808562	0.0591862	0.0232683	0.0468510	0.4083990	0.1762484	1.8164149	0.5688924	0.0049976	0.0331607	0.0478295	0.0108841	-34993.364
296	0.1485004	0.1441648	0.0836645	0.0591862	0.0232683	0.0441614	0.4393188	0.1762484	1.8164149	0.3089064	0.0091494	0.0331607	0.0478295	0.0434457	-34996.385
298	0.1662279	0.1587327	0.0865152	0.0651670	0.0256196	0.0486239	0.3989996	0.1438334	1.6497104	0.3089064	0.0070800	0.0327627	0.0255199	0.0129969	-34999.804
300	0.1309072	0.1198591	0.0706959	0.0538622	0.0198934	0.0382657	0.5066557	0.1917927	2.0948271	0.3089064	0.0070800	0.0077822	0.0287644	0.0125013	-34997.598
