Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	mu_bar	sigma2_1	sigma2_2	sigma2_3	sigma2_bar	lnL
1164	0.1704375	0.1702637	0.0953664	0.0654472	0.0283316	0.0512075	0.4463449	0.1492795	1.6634488	0.2854851	0.0577009	0.0306458	0.0738182	0.0822990	-34989.525
1166	0.1507885	0.1506347	0.0843721	0.0579021	0.0250654	0.0436947	0.4711575	0.1762642	1.5834061	0.2854851	0.0577009	0.0306458	0.1500908	0.0822990	-34992.918
1168	0.1507885	0.1506347	0.0843721	0.0600756	0.0225707	0.0420395	0.4665789	0.1762642	1.8387575	0.2854851	0.0577009	0.0061461	0.0794016	0.0373789	-34995.777
1170	0.1507885	0.1449577	0.0843721	0.0614959	0.0252763	0.0451188	0.4665789	0.1762642	1.8387575	0.2854851	0.0371881	0.0061461	0.0443158	0.0373789	-34994.564
1172	0.1655882	0.1525610	0.0948309	0.0691190	0.0314411	0.0507118	0.4050037	0.1568241	1.6359619	0.2608230	0.0150777	0.0061461	0.0624444	0.1080050	-34993.418
1174	0.1576522	0.1498543	0.0904566	0.0691190	0.0314411	0.0507118	0.3827728	0.1690537	1.6359619	0.2608230	0.0072740	0.0061461	0.0321972	0.0230532	-34997.531
1176	0.1311675	0.1257875	0.0763375	0.0563876	0.0261592	0.0421924	0.4751392	0.1943869	1.9662882	0.2608230	0.0072740	0.0043446	0.0137399	0.0230532	-34998.344
1178	0.1482119	0.1478669	0.0888518	0.0631492	0.0286815	0.0491092	0.4082181	0.1670084	1.6893461	0.4537084	0.0072740	0.0043446	0.0260591	0.0238091	-35001.775
1180	0.1548365	0.1402765	0.0902484	0.0644344	0.0286815	0.0491092	0.3715045	0.1670084	1.6893461	0.2509714	0.0072740	0.0043446	0.0163236	0.0081771	-35006.722
1182	0.1313187	0.1189702	0.0793345	0.0546476	0.0253544	0.0416501	0.4380370	0.1969179	1.9829455	0.2509714	0.0026248	0.0043446	0.0199803	0.0081771	-35007.975
1184	0.1160536	0.1051406	0.0710760	0.0482951	0.0224071	0.0395735	0.4956540	0.2228194	2.5489822	0.4475797	0.0026248	0.0028212	0.0281282	0.0081771	-35003.924
1186	0.1535220	0.1390856	0.0887006	0.0638874	0.0286517	0.0476433	0.3936432	0.1684384	1.9268813	0.4475797	0.0015114	0.0028212	0.0183529	0.0830323	-35003.722
